place_name,place_address,orig_lat,orig_lng,naver_place_id,naver_url,naver_lat,naver_lng,match_confidence,matched_name,matched_address,verification_status,mismatch_flag,mismatch_reason
0914 도산공원 플래그십 스토어,서울 강남구 도산대로45길 15,37.523231,127.035117,37213622,https://map.naver.com/p/entry/place/37213622,37.5232725,127.0351688,high,0914 도산공원 플래그십 스토어,"서울 강남구 도산대로45길 15 1, 2층 서울 강남구 신사동 631-35",verified,false,
CGV청담씨네시티,서울 강남구 도산대로 323,37.522897,127.037016,20574013,https://map.naver.com/p/entry/place/20574013,37.5228611,127.0370619,high,CGV 청담씨네시티,서울 강남구 도산대로 323 씨네시티빌딩 서울 강남구 신사동 651-21,verified,false,
테헤란로,서울 강남구 테헤란로 201,37.501311,127.037178,,,,,failed,,,not_matched,false,
조선팰리스 강남,서울 강남구 테헤란로 231,37.502881,127.041357,1384506674,https://map.naver.com/p/entry/place/1384506674,37.5029272,127.0411011,high,조선 팰리스 서울 강남,서울 강남구 테헤란로 231 센터필드타워 웨스트동 서울 강남구 역삼동 676,verified,false,
제이에스티나빌딩,서울 송파구 양재대로62길 53,37.495607,127.121295,20621371,https://map.naver.com/p/entry/place/20621371,37.495614,127.121248,high,제이에스티나빌딩,서울 송파구 양재대로62길 53 서울 송파구 가락동 77-1,verified,false,
웰킵스타워,서울 강동구 고덕비즈밸리로 54,37.567539,127.158593,1212866420,https://map.naver.com/p/entry/place/1212866420,37.5674657,127.1585089,high,웰킵스타워,서울 강동구 고덕비즈밸리로 54 서울 강동구 고덕동 353-11,verified,false,
온수리성공회,인천 강화군 길상면 온수길38번길 14,37.640518,126.489703,1458075421,https://map.naver.com/p/entry/place/1458075421,37.6406458,126.4903633,high,온수리성공회,인천 강화군 길상면 온수길38번길 14 대한성공회 온수리교회 인천 강화군 길상면 온수리 505-3,verified,false,
파라다이스시티호텔,인천 영종구 영종해안남로321번길 186,37.437412,126.455555,304210835,https://map.naver.com/p/entry/place/304210835,37.4372949,126.455732,high,파라다이스시티,인천 영종구 영종해안남로321번길 186 인천 영종구 운서동 2874,verified,false,
인천문학경기장,인천 미추홀구 매소홀로 618,37.435082,126.690760,34959771,https://map.naver.com/p/entry/place/34959771,37.4352191,126.6907208,high,인천문학경기장,인천 미추홀구 매소홀로 618 인천 미추홀구 문학동 482,verified,false,
써브웨이 인천송도8공구점,인천 연수구 랜드마크로 20,37.416075,126.624537,2094711028,https://map.naver.com/p/entry/place/2094711028,37.4150729,126.6256539,high,써브웨이 인천송도8공구점,"인천 연수구 랜드마크로 20 111동 1층 155호, 156호 인천 연수구 송도동 312-1",verified,false,
경원재 바이 워커힐,인천 연수구 테크노파크로 200,37.392287,126.637858,36516845,https://map.naver.com/p/entry/place/36516845,37.391937,126.6375339,high,경원재 바이 워커힐,인천 연수구 테크노파크로 200 인천 연수구 송도동 24-9,verified,false,
오크우드프리미어 인천 파노라믹65,인천 연수구 컨벤시아대로 165,37.389141,126.644443,37402265,https://map.naver.com/p/entry/place/37402265,37.3893365,126.6442061,high,오크우드프리미어 인천 파노라믹65,인천 연수구 컨벤시아대로 165 오크우드 프리미어 호텔 65층 인천 연수구 송도동 6-10,verified,false,
라운지25,인천 연수구 센트럴로 232,37.397422,126.636641,2047120364,https://map.naver.com/p/entry/place/2047120364,37.396624,126.6372389,mid,라운지25 본점,인천 연수구 센트럴로 232 E동 1층 183호~187호 글로벌레인보우유치원 맞은편 인천 연수구 송도동 23-3,verified,false,
양주한국병원,경기 양주시 화합로 1489,37.838900,127.072898,1265137259,https://map.naver.com/p/entry/place/1265137259,37.8388895,127.0728597,high,양주한국병원장례문화원,경기 양주시 화합로 1489 B2층 경기 양주시 고암동 92-21,verified,false,
모터리,경기 양주시 고암길 154-54,37.832312,127.074778,1744024371,https://map.naver.com/p/entry/place/1744024371,37.8323122,127.0748239,high,모터리,경기 양주시 고암길 154-54 경기 양주시 고암동 586-5,verified,false,
조이마당스튜디오,경기 파주시 파주읍 봉서산로 245,37.833300,126.803485,1741339375,https://map.naver.com/p/entry/place/1741339375,37.8332971,126.8034965,high,조이마당스튜디오,경기 파주시 파주읍 봉서산로 245 경기 파주시 파주읍 봉암리 3-1,verified,false,
로케이션 이음,경기 파주시 탄현면 새오리로286번길 48-70,37.804057,126.693139,,,,,failed,,,not_matched,false,
얼반웍스 스튜디오,경기 고양시 덕양구 호원길 3-2,37.585967,126.875599,,,,,failed,,,not_matched,false,
오르다온,경기 양평군 서종면 송골길 233,37.561228,127.411124,840722465,https://map.naver.com/p/entry/place/840722465,37.5611516,127.4110621,high,오르다온,경기 양평군 서종면 송골길 233 경기 양평군 서종면 서후리 529-34,verified,false,
하남돼지집 본점,경기 하남시 미사강변중앙로 43,37.550956,127.192867,35720246,https://map.naver.com/p/entry/place/35720246,37.5509999,127.1930366,high,하남돼지집 본점,경기 하남시 미사강변중앙로 43 1층 경기 하남시 풍산동 591,verified,false,
화서문,경기 수원시 팔달구 장안동 331,37.286608,127.013903,19802092,https://map.naver.com/p/entry/place/19802092,37.2855288,127.0096638,mid,화서문,경기 수원시 팔달구 장안동 334,verified,false,
보바스기념병원,경기 성남시 분당구 대왕판교로 155-8,37.357434,127.100004,11492281,https://map.naver.com/p/entry/place/11492281,37.3559525,127.0982562,high,보바스기념병원,경기 성남시 분당구 대왕판교로 155-7 보바스기념병원 경기 성남시 분당구 금곡동 310-8,verified,false,
경희대학교 국제캠퍼스,경기 용인시 기흥구 덕영대로 1732,37.239800,127.081199,19294047,https://map.naver.com/p/entry/place/19294047,37.238678,127.0818706,high,경희대학교 국제캠퍼스천문대,경기 용인시 기흥구 덕영대로 1732 경기 용인시 기흥구 서천동 1,verified,false,
용인대장금파크,경기 용인시 처인구 백암면 용천드라마길 25,37.119444,127.337089,13523487,https://map.naver.com/p/entry/place/13523487,37.1214426,127.3369462,high,용인대장금파크,경기 용인시 처인구 백암면 용천드라마길 25 경기 용인시 처인구 백암면 용천리 778-1,verified,false,
광주경찰서,경기 광주시 포돌이로 135,37.408779,127.239425,11642394,https://map.naver.com/p/entry/place/11642394,37.4083013,127.239563,high,광주경찰서,경기 광주시 포돌이로 135 경기 광주시 탄벌동 541-2,verified,false,
선향재 한옥 스튜디오,경기 광주시 새말길329번길 17,37.382781,127.176182,,,,,failed,,,not_matched,false,
당남리섬,경기 여주시 대신면 천서리 545-5,37.395258,127.542649,1219235396,https://map.naver.com/p/entry/place/1219235396,37.3959242,127.54256,high,당남리섬,경기 여주시 대신면 경기 여주시 대신면 천서리 700-2,verified,false,
마임비전빌리지,경기 여주시 세종대왕면 용은길 28,37.290669,127.540148,13320432,https://map.naver.com/p/entry/place/13320432,37.290674,127.5391925,high,마임비전빌리지,경기 여주시 세종대왕면 용은길 28 경기 여주시 세종대왕면 용은리 443-3,verified,false,
세트장(치악산드림랜드부지),강원 원주시 소초면 학곡리 223-3,37.431877,128.062776,,,,,failed,,,not_matched,false,
뮤지엄산,강원 원주시 지정면 오크밸리2길 260,37.415333,127.823409,1676988333,https://map.naver.com/p/entry/place/1676988333,37.4155602,127.8235701,high,뮤지엄산,강원 원주시 지정면 오크밸리2길 260 뮤지엄산 강원 원주시 지정면 월송리 999-13,verified,false,
더한옥헤리티지,강원 영월군 남면 문개실길 37-150,37.200539,128.429215,1559825941,https://map.naver.com/p/entry/place/1559825941,37.198912,128.425772,mid,더한옥헤리티지,강원 영월군 남면 문개실길 37-200 강원 영월군 남면 북쌍리 산35,verified,false,
우암산로,충북 청주시 상당구 수동 81-394,36.646072,127.495808,,,,,failed,,,not_matched,false,
수암골전망대,충북 청주시 상당구 수동 81-245,36.645746,127.495439,36351895,https://map.naver.com/p/entry/place/36351895,36.6458622,127.4955327,high,수암골전망대,충북 청주시 상당구 수동 81-245,verified,false,
청남대,충북 청주시 상당구 문의면 청남대길 646,36.462249,127.490095,13118260,https://map.naver.com/p/entry/place/13118260,36.4652855,127.4948685,mid,청남대,충북 청주시 상당구 문의면 청남대길 646 청남대관리사업소 충북 청주시 상당구 문의면 신대리 산26-1,verified,false,
백제문화단지,충남 부여군 규암면 백제문로 455,36.307572,126.908495,12019039,https://map.naver.com/p/entry/place/12019039,36.3065371,126.9067627,high,백제문화단지,충남 부여군 규암면 백제문로 455 백제문화단지 충남 부여군 규암면 합정리 138,verified,false,
아원고택,전북 완주군 소양면 송광수만로 516-7,35.903569,127.244688,35085458,https://map.naver.com/p/entry/place/35085458,35.903554,127.2446048,high,아원,전북 완주군 소양면 송광수만로 516-7 전북 완주군 소양면 대흥리 356,verified,false,
소양고택,전북 완주군 소양면 송광수만로 472-23,35.903680,127.243089,35957546,https://map.naver.com/p/entry/place/35957546,35.9035492,127.243347,high,소양고택,전북 완주군 소양면 송광수만로 472-23 전북 완주군 소양면 대흥리 371,verified,false,
광한루원,전북 남원시 요천로 1447,35.404132,127.380504,12292865,https://map.naver.com/p/entry/place/12292865,35.4032843,127.3795144,high,광한루원,전북 남원시 요천로 1447 전북 남원시 천거동 187-1,verified,false,
경상북도청,경북 안동시 풍천면 도청대로 455,36.576121,128.505723,11556002,https://map.naver.com/p/entry/place/11556002,36.5759477,128.5056461,high,경상북도청,경북 안동시 풍천면 도청대로 455 경북 안동시 풍천면 갈전리 1155,verified,false,
마성오픈세트장,경북 문경시 마성면 가은로 311-18,36.650819,128.079457,2066426562,https://map.naver.com/p/entry/place/2066426562,36.6508191,128.0794575,high,마성오픈세트장,경북 문경시 마성면 가은로 311-18 경북 문경시 마성면 하내리 590-5,verified,false,
예천진호국제양궁장,경북 예천군 예천읍 양궁장길 38,36.634632,128.468367,15919298,https://map.naver.com/p/entry/place/15919298,36.6345849,128.4678546,high,예천진호국제양궁장,경북 예천군 예천읍 양궁장길 38 경북 예천군 예천읍 청복리 150,verified,false,
오릉,경북 경주시 탑동 392-2,35.820904,129.209200,15743468,https://map.naver.com/p/entry/place/15743468,35.8194371,129.2104955,mid,오릉네거리,경북 경주시 탑동,verified,false,
이순신대로(1),부산 중구 중앙동4가 113,35.108100,129.043770,,,,,failed,,,not_matched,false,
이순신대로(2),부산 중구 중앙동4가 104,35.105630,129.041126,,,,,failed,,,not_matched,false,
센텀서로(1),부산 해운대구 센텀7로 12,35.174001,129.125535,,,,,failed,,,not_matched,false,
센텀서로(2),부산 해운대구 수영강변대로 140,35.172729,129.125609,,,,,failed,,,not_matched,false,
케이엔엔타워,부산 해운대구 센텀서로 30,35.172059,129.128433,,,,,failed,,,not_matched,false,
부산요트투어,부산 해운대구 해운대해변로 52,35.162498,129.138079,1512448515,https://map.naver.com/p/entry/place/1512448515,35.1613824,129.1389867,high,부산요트투어 요트타다,부산 해운대구 해운대해변로 52 요트타다 부산 해운대구 우동 1393,verified,false,
무진정,경남 함안군 함안면 괴산4길 25,35.255420,128.422748,20108366,https://map.naver.com/p/entry/place/20108366,35.2554596,128.4237032,high,무진정,경남 함안군 함안면 경남 함안군 함안면 괴산리,verified,false,
파랑새어린이집,서울 서대문구 통일로39다길 8,37.587157,126.942653,18281928,https://map.naver.com/p/entry/place/18281928,37.5871483,126.9426368,high,파랑새어린이집,서울 서대문구 통일로39다길 8 서울 서대문구 홍제동 312-128,verified,false,
청자모텔,서울 서대문구 통일로37나길 21,37.586903,126.943327,1243847645,https://map.naver.com/p/entry/place/1243847645,37.5869239,126.9433269,high,청자모텔,서울 서대문구 통일로37나길 21 서울 서대문구 홍제1동 313-44,verified,false,
"연세로,문화의거리 정류장(13324)",서울 서대문구 연세로 6-1,37.556135,126.937056,,,,,failed,,,not_matched,false,
동해해물탕 골목,서울 서대문구 연세로 9-5,37.556339,126.936448,,,,,failed,,,not_matched,false,
연세로5가길,서울 서대문구 연세로5가길 8-6,37.557505,126.936438,,,,,failed,,,not_matched,false,
연세로7안길,서울 서대문구 연세로7안길 6,37.557977,126.936401,,,,,failed,,,not_matched,false,
연세로4길,서울 서대문구 연세로4길 6,37.556920,126.937355,,,,,failed,,,not_matched,false,
연세로4길(2),서울 서대문구 창천동 18-65,37.557176,126.937633,,,,,failed,,,not_matched,false,
르바게트메종(폐업),서울 서대문구 명물길 28,37.558008,126.938317,,,,,failed,,,precheck:closed_place_name,false,
이노와이즈신촌,서울 서대문구 연세로4길 22,37.557148,126.938155,1860429932,https://map.naver.com/p/entry/place/1860429932,37.5571789,126.9381931,high,이노와이즈신촌,서울 서대문구 연세로4길 22 서울 서대문구 창천동 13-51,verified,false,
필더필딩,서울 서대문구 연세로4길 40,37.557859,126.938886,,,,,failed,,,not_matched,false,
인생네컷 신촌점(폐업),서울 서대문구 명물길 46,37.558539,126.939088,,,,,failed,,,precheck:closed_place_name,false,
가치,서울 마포구 새창로6길 18,37.541278,126.952651,1385774018,https://map.naver.com/p/entry/place/1385774018,37.5412673,126.9526366,high,가치,서울 마포구 새창로6길 18 지1층 서울 마포구 도화동 184-10,verified,false,
호텔나루서울 엠겔러리,서울 마포구 마포대로 8,37.537307,126.944273,1923905766,https://map.naver.com/p/entry/place/1923905766,37.5374497,126.9442803,high,호텔 나루 서울 엠갤러리,서울 마포구 마포대로 8 호텔 나루 서울 엠갤러리 서울 마포구 마포동 450,verified,false,
보라매역부근,서울 영등포구 여의대방로 145,37.500210,126.919990,,,,,failed,,,not_matched,false,
서울공업고등학교,서울 동작구 대방동1길 46,37.501901,126.922363,19717728,https://map.naver.com/p/entry/place/19717728,37.5016013,126.9222662,high,서울공업고등학교,서울 동작구 대방동1길 46 서울공업고등학교 서울 동작구 대방동 390-5,verified,false,
완성빌라,서울 종로구 세검정로7나길 42-4,37.603229,126.959058,18686939,https://map.naver.com/p/entry/place/18686939,37.6035644,126.9589268,mid,완성주택빌라,서울 종로구 세검정로7나길 42-4 서울 종로구 신영동 213-1,verified,false,
바이온,서울 광진구 구의강변로 47,37.535094,127.091648,31420438,https://map.naver.com/p/entry/place/31420438,35.8923901,128.6140946,low,바이온,대구 북구 경대로17길 47 테크노빌딩 506호 대구 북구 복현동 573-13,verified,false,
인천제2시립노인전문병원,인천 계양구 드림로 852,37.574852,126.729059,13239913,https://map.naver.com/p/entry/place/13239913,37.5748307,126.7291203,high,인천제2시립노인전문병원,인천 계양구 드림로 852 인천 계양구 갈현동 77-1,verified,false,
삼산경찰서,인천 부평구 굴포로 104,37.511012,126.732241,12234069,https://map.naver.com/p/entry/place/12234069,37.5111329,126.7324201,high,인천삼산경찰서,인천 부평구 굴포로 104 삼산경찰서 인천 부평구 삼산동 441-1,verified,false,
더쿠스,인천 미추홀구 경인남길30번길 65,37.451723,126.658128,37799438,https://map.naver.com/p/entry/place/37799438,37.4517416,126.6581399,high,더쿠스,인천 미추홀구 경인남길30번길 65 대동빌딩 지하1층 인천 미추홀구 용현동 182-21,verified,false,
우인아크리움빌2오피스텔,경기 고양시 일산동구 무궁화로 7-63,37.663798,126.764712,18350346,https://map.naver.com/p/entry/place/18350346,37.6638667,126.7644799,high,우인아크리움빌2오피스텔,경기 고양시 일산동구 무궁화로 7-63 경기 고양시 일산동구 장항동 746,verified,false,
명동찌개마을 라페스타점,경기 고양시 일산동구 고봉로 26-14,37.664012,126.765379,38501819,https://map.naver.com/p/entry/place/38501819,37.6641481,126.7654735,high,명동찌개마을 라페스타점,경기 고양시 일산동구 고봉로 26-14 양우로데오랜드 A동 경기 고양시 일산동구 장항동 740-1,verified,false,
도래울파크뷰,경기 고양시 덕양구 도래울로 16,37.627315,126.867547,33410362,https://map.naver.com/p/entry/place/33410362,37.6270083,126.8685991,high,도래울파크뷰,경기 고양시 덕양구 도래울로 16 경기 고양시 덕양구 도내동 1103,verified,false,
스포츠아일랜드 수영장,경기 수원시 팔달구 창룡대로210번길 41,37.290107,127.035027,1982896759,https://map.naver.com/p/entry/place/1982896759,37.2902112,127.0352404,high,스포츠아일랜드 수영장,경기 수원시 팔달구 창룡대로210번길 41 1층 수영장 경기 수원시 팔달구 우만동 산5-1,verified,false,
천주교용인공원묘지,경기 용인시 처인구 모현읍 오산로 154-62,37.321104,127.146527,19283031,https://map.naver.com/p/entry/place/19283031,37.2332305,127.1716242,low,천주교용인성당공원묘원,경기 용인시 처인구 삼가동 453-1,verified,false,
잣절공원 배드민턴장,서울 구로구 고척로21나길 103,37.501996,126.839723,1942825571,https://map.naver.com/p/entry/place/1942825571,37.5020492,126.8376873,high,매봉산 잣절공원배드민턴장,서울 구로구 고척로21나길 103 서울 구로구 개봉동 45-2,verified,false,
경인자동차 공업사 앞,서울 구로구 경인로 536,37.501317,126.877829,,,,,failed,,,not_matched,false,
미래에코지식산업센터 앞,서울 구로구 경인로53길 32,37.502858,126.876204,,,,,failed,,,not_matched,false,
루하스사우나,서울 은평구 통일로 1022,37.633802,126.917739,37564357,https://map.naver.com/p/entry/place/37564357,37.6338023,126.9177389,high,루하스사우나,"서울 은평구 통일로 1022 지하1층 B109, B110, B111, 지하2층 B201호 서울 은평구 진관동 100-1",verified,false,
YTN본사,서울 마포구 상암산로 76,37.579194,126.892315,,,,,failed,,,not_matched,false,
공덕역주차장,서울 마포구 독막로 319,,,1279886639,https://map.naver.com/p/entry/place/1279886639,37.5416775,126.9540834,mid,나이스파크 공항철도 공덕역 주차장,서울 마포구 새창로 37 서울 마포구 도화동 1-402,verified,false,
지미 스모크하우스,서울 종로구 서순라길 117,37.575520,126.991397,1199497420,https://map.naver.com/p/entry/place/1199497420,37.5755213,126.991404,high,지미 스모크하우스,서울 종로구 서순라길 117 1층 서울 종로구 권농동 171-15,verified,false,
느티나무설렁탕,서울 중구 퇴계로71길 38,37.566473,127.012869,18091104,https://map.naver.com/p/entry/place/18091104,37.5664814,127.0128862,high,느티나무설렁탕,서울 중구 퇴계로71길 38 서울 중구 신당동 251-131,verified,false,
콤콤오락실 열정도점,서울 용산구 백범로87길 51,37.539559,126.969281,,,,,failed,,,not_matched,false,
위드피아노 사당점,서울 동작구 남부순환로 2073,37.476962,126.979294,36901084,https://map.naver.com/p/entry/place/36901084,37.4769751,126.9793094,high,위드피아노 사당점,서울 동작구 남부순환로 2073 진영빌딩 1층 서울 동작구 사당동 1044-24,verified,false,
하마천경로당,서울 송파구 성내천로23길 12,37.501287,127.145647,18889375,https://map.naver.com/p/entry/place/18889375,37.501742,127.145438,high,하마천경로당,서울 송파구 성내천로23길 12 서울 송파구 마천2동 11,verified,false,
벌말교,인천 계양구 평동 24-5,37.583847,126.771368,20421539,https://map.naver.com/p/entry/place/20421539,37.5835918,126.7715442,high,벌말교,인천 계양구 평동,verified,false,
명품세탁 넘버원,인천 서해구 청라커낼로319번길 3-15,37.536463,126.643505,35689210,https://map.naver.com/p/entry/place/35689210,37.5365074,126.6434698,high,명품세탁 넘버원,인천 서해구 청라커낼로319번길 3-15 인천 서해구 청라동 144-17,verified,false,
카페비투,인천 서해구 청라커낼로319번길 3-25,37.536844,126.642848,1750175559,https://map.naver.com/p/entry/place/1750175559,37.5368866,126.642852,high,카페 비투,인천 서해구 청라커낼로319번길 3-25 1층 인천 서해구 청라동 145-11,verified,false,
은행나무집 영양탕,인천 계양구 장제로 955-10,37.551484,126.742931,16658975,https://map.naver.com/p/entry/place/16658975,37.5515034,126.7428942,high,은행나무집영양탕,인천 계양구 장제로 955-10 인천 계양구 방축동 129-1,verified,false,
산곡6구역,인천 부평구 길주로341번길 29,,,,,,,failed,,,not_matched,false,
