title_kr,title_aliases,wiki_article_found,query_used,status,views_12m
기생수더그레이,Parasyte: The Grey,Parasyte: The Grey,Parasyte: The Grey,NO_PAGEVIEW_DATA,0
기생충,Parasite,Parasitism,Parasite,OK,252139
기억,Memory,Memory,Memory,OK,166972
기적의형제,,Miraculous Brothers,기적의형제,OK,18608
길복순,Kill Boksoon,Kill Boksoon,Kill Boksoon,OK,185875
김부장,,김장,김부장,OK,15
김비서가왜그럴까,What's Wrong with Secretary Kim,What's Wrong with Secretary Kim,What's Wrong with Secretary Kim,OK,183149
끝내주는해결사,Queen of Divorce,Queen of Divorce,Queen of Divorce,OK,25246
나는대놓고신데렐라를꿈꾼다,,,,NO_ARTICLE_FOUND,0
나는돈가스가싫어요,,,,NO_ARTICLE_FOUND,0
나를사랑한스파이,The Spies Who Loved Me,The Spies Who Loved Me,The Spies Who Loved Me,OK,20296
나미브,,Namib (TV series),나미브,OK,50054
나빌레라,Navillera,Navillera (TV series),Navillera,OK,26323
나쁜기억지우개,,Bad Memory Eraser,나쁜기억지우개,OK,34672
나쁜엄마,The Good Bad Mother,The Good Bad Mother,The Good Bad Mother,OK,98593
나의아저씨,My Mister,My Mister,My Mister,OK,168427
나의완벽한비서,,,,NO_ARTICLE_FOUND,0
나의해리에게,Dear Hyeri,Dear Hyeri,Dear Hyeri,OK,67474
나의해피엔드,,,,NO_ARTICLE_FOUND,0
나인퍼즐,Nine Puzzles,Nine Puzzles,Nine Puzzles,OK,133458
날녹여주오,Melting Me Softly,Melting Me Softly,Melting Me Softly,OK,56031
남과여,,Between Him and Her,남과여,OK,10238
남남,Not Others,Not Others,Not Others,OK,37401
남자친구,Encounter,Encounter,Encounter,OK,2843
남주서치,,Lee Chae-yeon,남주서치,OK,85338
남주의첫날밤을가져버렸다,The First Night with the Duke,The First Night with the Duke,The First Night with the Duke,NO_PAGEVIEW_DATA,0
낭만닥터김사부3,Dr. Romantic 3,Dr. Romantic,Dr. Romantic 3,OK,252177
낮과밤이다른그녀,Miss Night and Day,Miss Night and Day,Miss Night and Day,OK,53276
낮에뜨는달,Moon in the Day,Moon in the Day,Moon in the Day,OK,51673
내가죽기일주일전,,,,NO_ARTICLE_FOUND,0
내남자는큐피드,My Man Is Cupid,My Man Is Cupid,My Man Is Cupid,OK,29672
내남편과결혼해줘,Marry My Husband,Marry My Husband,Marry My Husband,OK,329827
내아이디는강남미인,My ID Is Gangnam Beauty,My ID is Gangnam Beauty,My ID Is Gangnam Beauty,OK,2951
내여자친구는상남자,,,,NO_ARTICLE_FOUND,0
내친구의졸업식,,,,NO_ARTICLE_FOUND,0
냥육권전쟁,,,,NO_ARTICLE_FOUND,0
너도인간이니,Are You Human?,Are You Human?,Are You Human?,OK,49522
너를기억해,I Remember You,I Remember You,I Remember You,OK,1241
넌내게반했어,Heartstrings,Heartstrings,Heartstrings,OK,196
넘버스,Numbers,Numbers (TV series),Numbers,OK,183129
노무사노무진,,,,NO_ARTICLE_FOUND,0
노웨이아웃더룰렛,No Way Out: The Roulette,No Way Out: The Roulette,No Way Out: The Roulette,OK,38269
놀아주는여자,My Sweet Mobster,My Sweet Mobster,My Sweet Mobster,OK,47791
눈물의여왕,Queen of Tears,Queen of Tears,Queen of Tears,OK,426146
눈이부시게,The Light in Your Eyes,The Light in Your Eyes (TV series),The Light in Your Eyes,OK,34947
뉴토피아,Newtopia,Newtopia,Newtopia,OK,308451
다음생은없으니까,,,,NO_ARTICLE_FOUND,0
다이루어질지니,"Genie, Make a Wish","Genie, Make a Wish","Genie, Make a Wish",OK,731315
닥터섬보이,,Doctor on the Edge,닥터섬보이,OK,174283
닥터슬럼프,Doctor Slump,Doctor Slump (TV series),Doctor Slump,OK,114428
닥터신,,Doctor Shin,닥터신,OK,51847
닥터차정숙,Doctor Cha,Doctor Cha,Doctor Cha,NO_PAGEVIEW_DATA,0
단죄,,No Mercy (TV series),단죄,OK,12944
달까지가자,,Refresh!,달까지가자,OK,682
닭강정,Chicken Nugget,Chicken Nugget (TV series),Chicken Nugget,OK,36976
당신의맛,Tastefully Yours,Tastefully Yours,Tastefully Yours,OK,137905
당신이잠든사이에,While You Were Sleeping,While You Were Sleeping,While You Were Sleeping,OK,1925
대한민국에서건물주되는법,,,,NO_ARTICLE_FOUND,0
대행사,Agency,Agency,Agency,OK,12199
더K2,The K2,The K2,The K2,NO_PAGEVIEW_DATA,0
더글로리,The Glory,The Glory (TV series),The Glory,OK,592331
더킹,The King: Eternal Monarch,The King: Eternal Monarch,The King: Eternal Monarch,OK,165472
덕후의딸,,,,NO_ARTICLE_FOUND,0
도깨비,Guardian: The Lonely and Great God,Guardian: The Lonely and Great God,Guardian: The Lonely and Great God,OK,361147
도도솔솔라라솔,Do Do Sol Sol La La Sol,Do Do Sol Sol La La Sol,Do Do Sol Sol La La Sol,OK,51317
도시남녀의사랑법,Lovestruck in the City,Lovestruck in the City,Lovestruck in the City,OK,98345
도현의고백,,,,NO_ARTICLE_FOUND,0
돌풍,The Whirlwind,The Whirlwind (TV series),The Whirlwind,OK,23380
동궁,,The East Palace,동궁,OK,307490
동백꽃필무렵,When the Camellia Blooms,When the Camellia Blooms,When the Camellia Blooms,OK,61190
드림하이,Dream High,Dream High,Dream High,OK,71740
디어엠,Dear.M,Dear X (TV series),Dear.M,OK,997067
디피2,D.P. Season 2,Dry Season (2024 film),D.P. Season 2,NO_PAGEVIEW_DATA,0
또오해영,Another Miss Oh,Another Miss Oh,Another Miss Oh,OK,51582
라디오로맨스,Radio Romance,Radio Romance (TV series),Radio Romance,OK,11157
라이딩인생,,,,NO_ARTICLE_FOUND,0
라이브,Live,Live,Live,OK,20575
라이브온,Live On,Live On (TV series),Live On,OK,29824
러닝메이트,,I Am a Running Mate,러닝메이트,NO_PAGEVIEW_DATA,0
러브미,,Park Ji-hoon,러브미,OK,458779
러브포비아,,Love Phobia (TV series),러브포비아,OK,50705
런온,Run On,Run On (TV series),Run On,OK,64855
레이디두아,,Lee E-dam,레이디두아,OK,31557
로드투외과의사,,,,NO_ARTICLE_FOUND,0
로맨스는별책부록,Romance Is a Bonus Book,Romance Is a Bonus Book,Romance Is a Bonus Book,OK,55174
로얄로더,,The Impossible Heir,로얄로더,OK,96668
리버스,,Reverse (2026 TV series),리버스,OK,49812
마녀,,The Witch (TV series),마녀,OK,130095
마녀의연애,Witch's Romance,Witch's Romance,Witch's Romance,OK,231
마님은왜마당쇠에게고기를주었나,,,,NO_ARTICLE_FOUND,0
마스크걸,Mask Girl,Mask Girl,Mask Girl,OK,135112
마에스트라,Maestra: Strings of Truth,Maestra: Strings of Truth,Maestra: Strings of Truth,OK,15607
마이데몬,My Demon,My Demon,My Demon,OK,241640
마이유스,My Youth,My Youth,My Youth,OK,251499
마지막썸머,,,,NO_ARTICLE_FOUND,0
매리는외박중,Mary Stayed Out All Night,Mary Stayed Out All Night,Mary Stayed Out All Night,OK,1462
맨끝줄소년,,Choi Hyun-wook,맨끝줄소년,OK,328809
맨홀,,Manhole (TV series),맨홀,OK,7426
맹감독의 악플러,,A Head Coach's Turnover,맹감독의 악플러,NO_PAGEVIEW_DATA,0
멋진신세계,,Big Naughty,멋진신세계,OK,20526
메리킬즈피플,,,,NO_ARTICLE_FOUND,0
메스를든사냥꾼,,,,NO_ARTICLE_FOUND,0
메이드인코리아,Made in Korea,Made in Korea (TV series),Made in Korea,NO_PAGEVIEW_DATA,0
멜로무비,Melo Movie,Melo Movie,Melo Movie,OK,111958
멱살한번잡힙시다,Nothing Uncovered,Nothing Uncovered,Nothing Uncovered,OK,50839
모래에도꽃이핀다,Like Flowers in Sand,Like Flowers in Sand,Like Flowers in Sand,OK,24450
모범택시1,Taxi Driver,Taxi Driver,Taxi Driver,OK,1300257
모범택시2,Taxi Driver 2,Taxi Driver 2,Taxi Driver 2,OK,1437
모범택시3,Taxi Driver 3,Taxi Driver 3,Taxi Driver 3,OK,5822
모자무싸,,We Are All Trying Here,모자무싸,OK,322291
모텔캘리포니아,Motel California,Motel California (TV series),Motel California,OK,61426
모퉁이를 돌면,,Jung Gun-joo,모퉁이를 돌면,OK,48452
무브투헤븐,Move to Heaven,Move to Heaven,Move to Heaven,OK,89299
무빙,Moving,Moving,Moving,OK,5594
무인도의디바,Castaway Diva,Castaway Diva,Castaway Diva,OK,97931
미남이시네요,You're Beautiful,You're Beautiful (TV series),You're Beautiful,OK,79314
미생,Misaeng: Incomplete Life,Misaeng: Incomplete Life,Misaeng: Incomplete Life,OK,49952
미안하다사랑한다,"I'm Sorry, I Love You","I'm Sorry, I Love You","I'm Sorry, I Love You",OK,42542
미지의서울,Our Unwritten Seoul,Our Unwritten Seoul,Our Unwritten Seoul,OK,193916
미혼남녀의효율적만남,,,,NO_ARTICLE_FOUND,0
밀키드,,Jung Dae-hyun,밀키드,OK,10725
바니와오빠들,,,,NO_ARTICLE_FOUND,0
반짝이는워터멜론,Twinkling Watermelon,Twinkling Watermelon,Twinkling Watermelon,OK,383514
반쪽짜리거짓말,,,,NO_ARTICLE_FOUND,0
발바닥이뜨거워서,,,,NO_ARTICLE_FOUND,0
밤에피는꽃,Knight Flower,Knight Flower,Knight Flower,OK,48007
밥잘사주는예쁜누나,Something in the Rain,Something in the Air (TV series),Something in the Rain,NO_PAGEVIEW_DATA,0
백번의추억,One Hundred Memories,One Hundred and One Nights,One Hundred Memories,OK,20126
백설공주에게죽음을,Black Out,Black Out (TV series),Black Out,OK,86488
버터플라이,,Kim Joo-hun,버터플라이,OK,73957
벌크업,,Seol Young-woo,벌크업,OK,63261
별들에게물어봐,When the Stars Gossip,When the Stars Gossip,When the Stars Gossip,OK,107054
별에서온그대,My Love from the Star,My Love from the Star,My Love from the Star,OK,165953
보고싶다,I Miss You,I Miss You,I Miss You,OK,1303
보라데보라,,True to Love,보라데보라,OK,50464
보물섬,,Buried Hearts,보물섬,OK,162654
봄밤,One Spring Night,One Spring Night,One Spring Night,OK,73300
북극성,Tempest,Tempest (TV series),Tempest,OK,758042
뷰티인사이드(드라마),The Beauty Inside,The Beauty Inside (TV series),The Beauty Inside,OK,101235
뷰티인사이드(영화),The Beauty Inside,The Beauty Inside (TV series),The Beauty Inside,OK,101235
브래지어끈이내려갔다,,,,NO_ARTICLE_FOUND,0
블러디플라워,,,,NO_ARTICLE_FOUND,0
비밀은없어,,,,NO_ARTICLE_FOUND,0
비밀의숲,Stranger,Stranger,Stranger,OK,22455
비밀의숲2,Stranger 2,Stranger (TV series),Stranger 2,OK,130089
빌런의나라,,,,NO_ARTICLE_FOUND,0
빌런즈,,Villains (South Korean TV series),빌런즈,OK,50628
사계의봄,,Lee Seung-hyub,사계의봄,OK,46171
사관은논한다,,,,NO_ARTICLE_FOUND,0
사내맞선,Business Proposal,Business Proposal,Business Proposal,OK,354121
사냥개들2,Bloodhounds Season 2,Bloodhounds (TV series),Bloodhounds Season 2,OK,415942
사랑은외나무다리에서,,,,NO_ARTICLE_FOUND,0
사랑의불시착,Crash Landing on You,Crash Landing on You,Crash Landing on You,OK,566836
사랑의안단테,,,,NO_ARTICLE_FOUND,0
사랑의온도,Temperature of Love,Temperature of Love,Temperature of Love,OK,31042
사랑한다고말해줘,Tell Me That You Love Me,Tell Me That You Love Me (TV series),Tell Me That You Love Me,OK,39682
사랑후에오는것들,What Comes After Love,What Comes After Love,What Comes After Love,OK,58519
사마귀 : 살인자의외출,,,,NO_ARTICLE_FOUND,0
사운드트랙#2,Soundtrack #2,Soundtrack,Soundtrack #2,OK,118351
사이코지만괜찮아,It's Okay to Not Be Okay,It's Okay to Not Be Okay,It's Okay to Not Be Okay,OK,264759
살롱드홈즈,,,,NO_ARTICLE_FOUND,0
살인자난감,A Killer Paradox,A Killer Paradox,A Killer Paradox,OK,102474
삼식이삼촌,Uncle Samsik,Uncle Samsik,Uncle Samsik,NO_PAGEVIEW_DATA,0
상류사회,High Society,High Society,High Society,NO_PAGEVIEW_DATA,0
새벽2시의신데렐라,,,,NO_ARTICLE_FOUND,0
샤이닝,,샤이니,샤이닝,OK,45
샤크 더 스톰,,Shark: The Storm,샤크 더 스톰,OK,62595
서른아홉,Thirty-Nine,Thirty-Nine,Thirty-Nine,OK,62490
서른이지만열일곱입니다,Still 17,Still 17,Still 17,OK,65023
서울자가에대기업다니는김부장이야기,,,,NO_ARTICLE_FOUND,0
서초동,,Law and the City,서초동,OK,208152
선의의 경쟁,Friendly Rivalry,Friendly Rivalry,Friendly Rivalry,OK,146401
선재업고튀어,Lovely Runner,Lovely Runner,Lovely Runner,OK,373682
세이렌,,Siren's Kiss,세이렌,OK,276046
세작매혹된자들,Captivating the King,Captivating the King,Captivating the King,OK,69007
소년시대,Boyhood,Boyhood (TV series),Boyhood,OK,35749
소방서옆경찰서그리고국과수,,Jin Kyung,소방서옆경찰서그리고국과수,OK,83064
소용없어거짓말,My Lovely Liar,My Lovely Liar,My Lovely Liar,OK,145079
손해보기싫어서,No Gain No Love,No Gain No Love,No Gain No Love,OK,134876
쇼핑왕루이,Shopping King Louie,Shopping King Louie,Shopping King Louie,OK,30815
수령인,,수인분당선,수령인,OK,11
수사반장1958,Chief Detective 1958,Chief Detective 1958,Chief Detective 1958,OK,39097
수상한그녀,,Because I Love You (2017 film),수상한그녀,OK,12209
수상한파트너,Suspicious Partner,Suspicious Partner,Suspicious Partner,NO_PAGEVIEW_DATA,0
수운잡방,,Yoon San-ha,수운잡방,OK,47608
순정복서,,My Lovely Boxer,순정복서,OK,19858
순정에반하다,Falling for Innocence,Falling for Innocence,Falling for Innocence,OK,137
스물다섯스물하나,Twenty-Five Twenty-One,Twenty-Five Twenty-One,Twenty-Five Twenty-One,OK,267586
스위치,,Switch (2023 film),스위치,OK,28479
스위트홈2,Sweet Home Season 2,Sweet Home (TV series),Sweet Home Season 2,OK,317008
스위트홈3,Sweet Home Season 3,Sweet Home (TV series),Sweet Home Season 3,OK,317008
스카이캐슬,SKY Castle,Sky Castle,SKY Castle,OK,114443
스타트업,Start-Up,Start-Up,Start-Up,NO_PAGEVIEW_DATA,0
스터디그룹,Study Group,Study Group (TV series),Study Group,OK,291233
스틸러,,스틸러 : 일곱 개의 조선통보,스틸러,OK,4
스프링피버,,Spring Fever (TV series),스프링피버,OK,455432
스피릿핑거스,,Spirit Fingers (TV series),스피릿핑거스,OK,201695
슬기로운감빵생활,Prison Playbook,Prison Playbook,Prison Playbook,OK,87648
슬기로운의사생활,Hospital Playlist,Hospital Playlist,Hospital Playlist,OK,229522
시그널,Signal,Signal,Signal,OK,59582
시크릿가든,Secret Garden,Secret Garden,Secret Garden,OK,5005
식사를합시다,Let's Eat,Let's Eat,Let's Eat,OK,291
신데렐라와네명의기사,Cinderella and the Four Knights,Cinderella and the Four Knights,Cinderella and the Four Knights,OK,158
신병3,,2025 in South Korean television,신병3,OK,99958
신사장프로젝트,,,,NO_ARTICLE_FOUND,0
신성한이혼,Divorce Attorney Shin,Divorce Attorney Shin,Divorce Attorney Shin,OK,36402
신이랑법률사무소,,,,NO_ARTICLE_FOUND,0
신입사원강회장,,Korean drama,신입사원강회장,OK,366014
실버벨이울리면,,,,NO_ARTICLE_FOUND,0
심우면연리리,,,,NO_ARTICLE_FOUND,0
쌈마이웨이,Fight for My Way,Fight for My Way,Fight for My Way,OK,97389
쌍갑포차,Mystic Pop-up Bar,Mystic Pop-up Bar,Mystic Pop-up Bar,OK,33759
아기가생겼어요,,,,NO_ARTICLE_FOUND,0
아너그녀들의법정,,,,NO_ARTICLE_FOUND,0
아는건별로없지만가족입니다,My Unfamiliar Family,My Unfamiliar Family,My Unfamiliar Family,OK,11258
아는와이프,Familiar Wife,Familiar Wife,Familiar Wife,OK,76378
아들이죽었다,,,,NO_ARTICLE_FOUND,0
아름다운우리여름,,,,NO_ARTICLE_FOUND,0
아름다웠던우리에게,A Love So Beautiful,A Love So Beautiful,A Love So Beautiful,OK,41724
아이돌아이,,I Dol I,아이돌아이,OK,529464
아이쇼핑,,The Defects (TV series),아이쇼핑,OK,61322
악귀,Revenant,Revenant (TV series),Revenant,OK,106629
악연,Karma,Karma,Karma,OK,292940
악인전기,,Evilive (TV series),악인전기,OK,76619
알고있지만,Nevertheless,Nevertheless (TV series),Nevertheless,OK,145543
알함브라궁전의추억,Memories of the Alhambra,Memories of the Alhambra,Memories of the Alhambra,OK,76512
야식남녀,,Sweet Munchies,야식남녀,OK,5507
야한사진관,,Seungmin,야한사진관,OK,185132
약한영웅2,Weak Hero Class 2,Weak Hero Class 2,Weak Hero Class 2,OK,21234
얄미운사랑,,,,NO_ARTICLE_FOUND,0
어느날우리집현관으로멸망이들어왔다,Doom at Your Service,Doom at Your Service,Doom at Your Service,OK,119718
어서와,"Meow, the Secret Boy","Meow, the Secret Boy","Meow, the Secret Boy",OK,134
어쨌든 서른,,Song Ji-eun,어쨌든 서른,OK,47873
언더더건,,Under the Gun (TV series),언더더건,OK,10539
언더커버미쓰홍,,TvN (South Korean TV channel),언더커버미쓰홍,OK,90831
언더커버하이스쿨,Undercover High School,Undercover High School,Undercover High School,OK,164329
언젠가는 슬기로울 전공의생활,Resident Playbook,Resident Playbook,Resident Playbook,OK,228695
엄마친구아들,Love Next Door,Love Next Door,Love Next Door,OK,223350
에스콰이어,,Last Summer (TV series),에스콰이어,OK,138750
에이틴1,A-TEEN,A-Teen,A-TEEN,OK,20880
여신강림,True Beauty,True Beauty,True Beauty,NO_PAGEVIEW_DATA,0
여우각시별,Where Stars Land,Where Stars Land,Where Stars Land,OK,44543
여행을대신해드립니다,,,,NO_ARTICLE_FOUND,0
역도요정김복주,Weightlifting Fairy Kim Bok-joo,Weightlifting Fairy Kim Bok-joo,Weightlifting Fairy Kim Bok-joo,OK,103046
연애의발견,Discovery of Romance,Discovery of Romance,Discovery of Romance,NO_PAGEVIEW_DATA,0
연인,My Dearest,My Dearest,My Dearest,OK,255670
열녀박씨계약결혼뎐,The Story of Park's Marriage Contract,The Story of Park's Marriage Contract,The Story of Park's Marriage Contract,OK,97137
열두밤,Twelve Nights,Twelve Nights,Twelve Nights,OK,3697
열혈사제,The Fiery Priest,The Fiery Priest,The Fiery Priest,OK,129652
열혈사제2,The Fiery Priest 2,The Fiery Priest,The Fiery Priest 2,OK,129652
영복사치코,,,,NO_ARTICLE_FOUND,0
예쁜남자,,"Kim Ye-won (actress, born 1987)",예쁜남자,NO_PAGEVIEW_DATA,0
오나의귀신님,Oh My Ghost,Oh My Ghost,Oh My Ghost,OK,476
오늘도 지송합니다,,Sorry Not Sorry (TV series),오늘도 지송합니다,OK,20802
오늘도매진했습니다,,,,NO_ARTICLE_FOUND,0
오늘도사랑스럽개,A Good Day to Be a Dog,A Good Day to Be a Dog,A Good Day to Be a Dog,OK,102678
오늘부터인간입니다만,,,,NO_ARTICLE_FOUND,0
오랫동안당신을기다렸습니다,,,,NO_ARTICLE_FOUND,0
오마이비너스,Oh My Venus,Oh My Venus,Oh My Venus,OK,78307
오버랩나이프나이프,,,,NO_ARTICLE_FOUND,0
오십프로,,Fifties Professionals,오십프로,OK,50860
오징어게임,Squid Game,Squid Game,Squid Game,OK,1423906
오징어게임2,Squid Game Season 2,Squid Game season 2,Squid Game Season 2,OK,414893
오징어게임3,Squid Game Season 3,Squid Game season 3,Squid Game Season 3,OK,716828
옥씨부인전,The Tale of Lady Ok,The Tale of Lady Ok,The Tale of Lady Ok,NO_PAGEVIEW_DATA,0
완벽한가족,Perfect Family,Perfect Family,Perfect Family,OK,97873
왓쳐,Watcher,Watcher,Watcher,OK,5628
우리들의 초콜릿 순간,,Our Chocolate Moments,우리들의 초콜릿 순간,OK,8868
우리들이있었다,,,,NO_ARTICLE_FOUND,0
우리영화,,Our Movie,우리영화,OK,79498
우리집,Bitter Sweet Hell,Bitter Sweet Hell,Bitter Sweet Hell,OK,24251
우연일까,,Serendipity's Embrace,우연일까,OK,72735
우주를줄게,,Wheesung,우주를줄게,OK,63572
우주메리미,,우주메리미,우주메리미,OK,70
운빨로맨스,Lucky Romance,Lucky Romance,Lucky Romance,OK,11717
운수오진날,A Bloody Lucky Day,A Bloody Lucky Day,A Bloody Lucky Day,OK,18262
원경,The Queen Who Crowns,The Queen Who Crowns,The Queen Who Crowns,OK,65873
원경-단오의인연,,,,NO_ARTICLE_FOUND,0
원더풀스,,원더걸스,원더풀스,NO_PAGEVIEW_DATA,0
원더풀월드,Wonderful World,Wonderful World,Wonderful World,OK,1151
원하이스쿨히어로즈,,,,NO_ARTICLE_FOUND,0
월간남친,,Boyfriend on Demand,월간남친,OK,497577
웨딩임파서블,Wedding Impossible,Wedding Impossible,Wedding Impossible,OK,92291
웰컴투삼달리,Welcome to Samdal-ri,Welcome to Samdal-ri,Welcome to Samdal-ri,OK,163052
유괴의날,The Kidnapping Day,The Kidnapping Day,The Kidnapping Day,OK,23802
유령을잡아라,Catch the Ghost,Catch the Ghost,Catch the Ghost,OK,27673
유미의세포들3,Yumi's Cells Season 3,유미의 세포들 더 무비,유미의세포들3,OK,5
유어아너,Your Honor,Your Honor,Your Honor,OK,495
유열의음악앨범,Tune in for Love,Tune in for Love,Tune in for Love,NO_PAGEVIEW_DATA,0
은밀한감사,,,,NO_ARTICLE_FOUND,0
은수좋은날,,Walking on Thin Ice (TV series),은수좋은날,OK,105486
은애하는도적님아,,,,NO_ARTICLE_FOUND,0
은중과상연,,,,NO_ARTICLE_FOUND,0
응답하라1988,Reply 1988,Reply 1988,Reply 1988,OK,330745
응답하라1994,Reply 1994,Reply 1994,Reply 1994,OK,65769
응답하라1997,Reply 1997,Reply 1997,Reply 1997,NO_PAGEVIEW_DATA,0
이강에는달이흐른다,,,,NO_ARTICLE_FOUND,0
이두나,Doona!,Doona!,Doona!,OK,108752
이로운사기,Delightfully Deceitful,Delightfully Deceitful,Delightfully Deceitful,OK,107000
이번생도잘부탁해,See You in My 19th Life,See You in My 19th Life,See You in My 19th Life,OK,149973
이번생은처음이라,Because This Is My First Life,Because This Is My First Life,Because This Is My First Life,OK,129138
이사랑통역되나요,,,,NO_ARTICLE_FOUND,0
이상한변호사우영우,Extraordinary Attorney Woo,Extraordinary Attorney Woo,Extraordinary Attorney Woo,OK,373661
이연애는불가항력,Destined with You,Destined with You,Destined with You,OK,41836
이재곧죽습니다,Death's Game,Death's Game,Death's Game,OK,244289
이태원클라쓰,Itaewon Class,Itaewon Class,Itaewon Class,OK,160270
이토록친밀한배신자,,,,NO_ARTICLE_FOUND,0
이혼보험,,Would You Marry Me? (TV series),이혼보험,OK,58215
인간수업,Extracurricular,Extracurricular (TV series),Extracurricular,OK,53708
인현왕후의남자,Queen In-hyun's Man,Queen In-hyun's Man,Queen In-hyun's Man,OK,811
일단뜨겁게청소하라,Clean with Passion for Now,Clean with Passion for Now,Clean with Passion for Now,OK,43279
일타스캔들,Crash Course in Romance,Crash Course in Romance,Crash Course in Romance,OK,319521
자백의대가,,,,NO_ARTICLE_FOUND,0
작은아씨들,Little Women,Little Women,Little Women,OK,756267
잔혹한인턴,,,,NO_ARTICLE_FOUND,0
장난스런키스,Playful Kiss,Playful Kiss,Playful Kiss,OK,67154
재벌X형사,Flex X Cop,Flex X Cop,Flex X Cop,OK,84786
재벌집막내아들,Reborn Rich,Reborn Rich,Reborn Rich,OK,167334
정년이,Jeongnyeon: The Star Is Born,Jeongnyeon: The Star Is Born,Jeongnyeon: The Star Is Born,NO_PAGEVIEW_DATA,0
정숙한세일즈,A Virtuous Business,A Virtuous Business,A Virtuous Business,OK,33918
정신병동에도아침이와요,Daily Dose of Sunshine,Daily Dose of Sunshine,Daily Dose of Sunshine,OK,102573
제3의매력,The Third Charm,The Third Charm,The Third Charm,OK,27035
조각도시,,The Manipulated,조각도시,OK,674666
조립식가족,Family by Choice,Family by Choice,Family by Choice,OK,193418
