title,year,award,category,source_url
브로커,2022,칸영화제,남우주연상,https://ko.wikipedia.org/wiki/브로커_(영화)
빈집,2004,베니스영화제,감독상,https://namu.wiki/w/김기덕(1960)
피에타,2012,베니스영화제,황금사자상,https://www.nocutnews.co.kr/news/5299676
사마리아,2004,베를린영화제,감독상,https://namu.wiki/w/김기덕(1960)
밤의 해변에서 혼자,2017,베를린영화제,여우주연상,https://namu.wiki/w/봉박홍이
도망친 여자,2020,베를린영화제,감독상,https://namu.wiki/w/봉박홍이
기생충,2020,아카데미상,작품상,https://ko.wikipedia.org/wiki/기생충_(영화)
기생충,2020,아카데미상,감독상,https://ko.wikipedia.org/wiki/기생충_(영화)
기생충,2020,아카데미상,각본상,https://ko.wikipedia.org/wiki/기생충_(영화)
기생충,2020,아카데미상,국제장편영화상,https://ko.wikipedia.org/wiki/기생충_(영화)
미나리,2021,아카데미상,여우조연상,https://ko.wikipedia.org/wiki/미나리_(영화)
