work_id,title,title_official,title_en,title_aliases,title_category,title_cast,broadcaster,air_period,air_status,location_count,location_geocoded,region_count,top_region,wikidata_qid,wiki_lang_count,en_wiki_title,en_views_12m,score_global,score_interest,score_data,score_total,rank,is_top100,poster_url,description,kdramamap_url,last_updated
w_0428,태양의후예,태양의 후예,Descendants of the Sun,태양의 후예;Descendants of the Sun;太陽の末裔;太阳的后裔;Tae-yang-eui hoo-ye;太陽의 後裔;태양의 후에,drama,송중기;송혜교;진구;김지원,KBS2,2016-02-24 ~ 2016-04-14,방영종료,15,15,2,서울특별시,Q18652415,52,Descendants of the Sun,255842,40.0,24.48,10.62,75.1,11,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%ED%83%9C%EC%96%91%EC%9D%98%ED%9B%84%EC%98%88.webp,,https://kdramamap.com/drama/%ed%83%9c%ec%96%91%ec%9d%98%ed%9b%84%ec%98%88/,2026-07-29
w_0444,폭싹 속았수다,폭싹 속았수다,When Life Gives You Tangerines,When Life Gives You Tangerines;おつかれさま;您辛苦了;You Have Done Well,drama,아이유;박보검;문소리;박해준,Netflix,2025-03-07 ~ 2025-03-28,방영종료,72,72,12,서울특별시,Q117353211,19,When Life Gives You Tangerines,965395,19.0,34.5,20.0,73.5,12,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%ED%8F%AD%EC%8B%B9%20%EC%86%8D%EC%95%98%EC%88%98%EB%8B%A4.webp,,https://kdramamap.com/drama/%ed%8f%ad%ec%8b%b9-%ec%86%8d%ec%95%98%ec%88%98%eb%8b%a4/,2026-07-29
w_0187,별에서온그대,별에서 온 그대,My Love from the Star,별에서 온 그대;My Love from the Star;星から来たあなた;來自星星的你;Byeol-e-seo on geu-dae;Byeoreseo on Geudae;Man from the Stars;My Love from Another Star,drama,김수현;전지현,SBS,2013-12-18 ~ 2014-02-27,방영종료,20,19,1,서울특별시,Q14655473,42,My Love from the Star,165515,40.0,21.19,12.25,73.44,13,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EB%B3%84%EC%97%90%EC%84%9C%EC%98%A8%EA%B7%B8%EB%8C%80.webp,,https://kdramamap.com/drama/%eb%b3%84%ec%97%90%ec%84%9c%ec%98%a8%ea%b7%b8%eb%8c%80/,2026-07-29
w_0394,참교육,참교육,Teach You a Lesson,Teach You a Lesson;鉄槌教師﻿;鐵拳教育;Get Schooled,drama,김무열;이성민;진기주,Netflix,2026-06-05 ~ 2026-06-05,방영종료,63,63,9,서울특별시,Q137844128,16,Teach You a Lesson,1401511,16.0,37.32,20.0,73.32,14,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%B0%B8%EA%B5%90%EC%9C%A1.webp,"《참교육》은 무너진 교권을 바로잡기 위해 교권보호국 소속 인물들이 학교 안팎의 부조리와 맞서는 액션 드라마입니다. 서울·경기·인천·세종 등 전국 각지에서 촬영됐으며, 이 페이지에서 63곳의 촬영지 주소와 지역별 분포, 지도 정보를 확인할 수 있습니다.",https://kdramamap.com/drama/%ec%b0%b8%ea%b5%90%ec%9c%a1/,2026-07-29
w_0098,눈물의여왕,눈물의 여왕,Queen of Tears,눈물의 여왕;Queen of Tears;涙の女王;淚之女王,drama,김수현;김지원,tvN,2024-03-09 ~ 2024-04-28,방영종료,145,115,9,서울특별시,Q116921048,23,Queen of Tears,425169,23.0,28.31,18.97,70.28,15,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EB%88%88%EB%AC%BC%EC%9D%98%EC%97%AC%EC%99%95.webp,"《눈물의 여왕》은 재벌 3세 홍해인과 용두리 출신 변호사 백현우 부부가 위기를 지나 다시 사랑을 시작하는 로맨스입니다. 서울·경기·인천과 문경 등 국내외 여러 지역에서 촬영됐으며, 이 페이지에서 145곳의 촬영지 주소와 지역별 분포, 지도 정보를 확인할 수 있습니다.",https://kdramamap.com/drama/%eb%88%88%eb%ac%bc%ec%9d%98%ec%97%ac%ec%99%95/,2026-07-29
w_0115,더글로리,더 글로리,The Glory,더 글로리;The Glory;ザ・グローリー～輝かしき復讐～;黑暗榮耀,drama,송혜교;이도현;임지연;염혜란,Netflix,2022-12-30 ~ 2023-03-10,방영종료,108,107,8,경기도,Q113197148,19,The Glory (TV series),590682,19.0,30.79,19.95,69.75,16,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EB%8D%94%EA%B8%80%EB%A1%9C%EB%A6%AC.webp,"《더 글로리》는 학교폭력으로 삶이 무너진 문동은이 오랜 시간 준비한 복수를 실행하며 가해자들과 맞서는 복수극입니다. 경기·서울·인천을 중심으로 여러 지역에서 촬영됐으며, 이 페이지에서 108곳의 촬영지 주소와 지역별 분포, 지도 정보를 확인할 수 있습니다.",https://kdramamap.com/drama/%eb%8d%94%ea%b8%80%eb%a1%9c%eb%a6%ac/,2026-07-29
w_0003,21세기대군부인,21세기 대군부인,Perfect Crown,21세기 대군부인;Perfect Crown;21世紀の大君夫人;21世紀大君夫人;21st Century Grand Prince’s Wife;Wife of a 21st Century Prince,drama,아이유;변우석,MBC,2026-04-10 ~ 2026-05-16,방영종료,94,94,10,서울특별시,Q131386568,12,Perfect Crown,1394094,12.0,37.28,20.0,69.28,17,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/21%EC%84%B8%EA%B8%B0%EB%8C%80%EA%B5%B0%EB%B6%80%EC%9D%B8.webp,,https://kdramamap.com/drama/21%ec%84%b8%ea%b8%b0%eb%8c%80%ea%b5%b0%eb%b6%80%ec%9d%b8/,2026-07-29
w_0061,김비서가왜그럴까,김비서가 왜 그럴까,What's Wrong with Secretary Kim,김비서가 왜 그럴까;What's Wrong with Secretary Kim;キム秘書はいったい、なぜ?;金秘書為何那樣;Why Secretary Kim,drama,박서준;박민영,tvN,2018-06-06 ~ 2018-07-26,방영종료,16,16,1,서울특별시,Q51661554,35,What's Wrong with Secretary Kim,182636,35.0,21.93,11.0,67.93,18,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EA%B9%80%EB%B9%84%EC%84%9C%EA%B0%80%EC%99%9C%EA%B7%B8%EB%9F%B4%EA%B9%8C.webp,,https://kdramamap.com/drama/%ea%b9%80%eb%b9%84%ec%84%9c%ea%b0%80%ec%99%9c%ea%b7%b8%eb%9f%b4%ea%b9%8c/,2026-07-29
w_0086,내남편과결혼해줘,내 남편과 결혼해줘,Marry My Husband,내 남편과 결혼해줘;Marry My Husband;私の夫と結婚して;和我老公結婚吧,drama,박민영;나인우;이이경;송하윤,tvN,2024-01-01 ~ 2024-02-20,방영종료,117,116,9,서울특별시,Q123181328,21,Marry My Husband,329002,21.0,26.37,19.96,67.33,19,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EB%82%B4%EB%82%A8%ED%8E%B8%EA%B3%BC%EA%B2%B0%ED%98%BC%ED%95%B4%EC%A4%98.webp,,https://kdramamap.com/drama/%eb%82%b4%eb%82%a8%ed%8e%b8%ea%b3%bc%ea%b2%b0%ed%98%bc%ed%95%b4%ec%a4%98/,2026-07-29
w_0283,약한영웅2,약한영웅 Class 1,Weak Hero Class 1,약한영웅 Class 1;Weak Hero Class 1;弱いヒーロー﻿;弱美男英雄;Weak Hero;Weak Hero Class One;Weak Hero: Class 1;Yakhanyeongung,drama,박지훈;려운,Netflix,2025-04-25 ~ 2025-04-25,방영종료,40,40,4,서울특별시,Q116007300,16,Weak Hero,568938,16.0,30.51,20.0,66.51,20,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%95%BD%ED%95%9C%EC%98%81%EC%9B%852.webp,,https://kdramamap.com/drama/%ec%95%bd%ed%95%9c%ec%98%81%ec%9b%852/,2026-07-29
w_0356,이사랑통역되나요,이 사랑 통역 되나요?,Can This Love Be Translated?,이 사랑 통역 되나요?;Can This Love Be Translated?;恋の通訳、できますか?;愛情怎麼翻譯？,drama,김선호;고윤정,Netflix,2026-01-01 ~ 2026-02-01,방영종료,139,73,7,서울특별시,Q125121395,14,Can This Love Be Translated?,900698,14.0,33.98,17.63,65.6,21,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%9D%B4%EC%82%AC%EB%9E%91%ED%86%B5%EC%97%AD%EB%90%98%EB%82%98%EC%9A%94.webp,"《이 사랑 통역 되나요?》는 다중언어 통역사 주호진이 글로벌 톱스타 차무희의 통역을 맡으며 시작되는 로맨틱 코미디입니다. 서울을 비롯해 일본·이탈리아·캐나다 등 국내외에서 촬영됐으며, 이 페이지에서 139곳의 촬영지 주소와 지역별 분포, 지도 정보를 확인할 수 있습니다.",https://kdramamap.com/drama/%ec%9d%b4%ec%82%ac%eb%9e%91%ed%86%b5%ec%97%ad%eb%90%98%eb%82%98%ec%9a%94/,2026-07-29
w_0060,김부장,김부장,Agent Kim Reactivated,Agent Kim Reactivated;エージェント・キム: リアクティべーティッド﻿;金特務：本色回歸,drama,소지섭;최대훈;윤경호;주상욱,SBS,2026-06-26 ~ 2026-07-25,방영종료,83,82,7,경기도,Q139553270,10,Agent Kim Reactivated,1001169,10.0,34.78,19.94,64.72,22,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EA%B9%80%EB%B6%80%EC%9E%A5.webp,"평범한 회사원으로 살아가던 김부장이 사라진 딸을 찾기 위해 감춰왔던 과거와 능력을 드러내는 복수 액션 드라마다. 촬영은 경기·인천을 중심으로 강원 양양, 전남 광양 등 여러 지역에서 진행됐다. KDramaMap에서는 총 83곳의 촬영지와 주소, 지역별 분포와 지도를 확인할 수 있다.",https://kdramamap.com/drama/%ea%b9%80%eb%b6%80%ec%9e%a5/,2026-07-29
w_0443,폭군의셰프,폭군의 셰프,"Bon Appétit, Your Majesty","폭군의 셰프;Bon Appétit, Your Majesty;暴君のシェフ;暴君的廚師;Surviving as Yeonsangun's Chef;Surviving as the Tyrant's Chef;The Tyrant's Chef",drama,임윤아;이채민,tvN,2025-08-23 ~ 2025-09-28,방영종료,12,12,6,서울특별시,Q131910461,15,"Bon Appétit, Your Majesty",1975454,15.0,39.91,9.5,64.41,23,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%ED%8F%AD%EA%B5%B0%EC%9D%98%EC%85%B0%ED%94%84.webp,,https://kdramamap.com/drama/%ed%8f%ad%ea%b5%b0%ec%9d%98%ec%85%b0%ed%94%84/,2026-07-29
w_0205,사냥개들2,사냥개들,Bloodhounds,사냥개들;Bloodhounds;ブラッドハウンド;猎犬;Hunting Dogs;Sanyang Gaedeul,drama,우도환;이상이;정지훈,Netflix,2026-04-03 ~ 2026-04-03,방영종료,61,60,9,경기도,Q109767798,16,Bloodhounds (TV series),414741,16.0,28.12,19.92,64.04,24,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%82%AC%EB%83%A5%EA%B0%9C%EB%93%A42.webp,,https://kdramamap.com/drama/%ec%82%ac%eb%83%a5%ea%b0%9c%eb%93%a42/,2026-07-29
w_0293,에스콰이어,에스콰이어: 변호사를 꿈꾸는 변호사들,Beyond the Bar,에스콰이어: 변호사를 꿈꾸는 변호사들;Beyond the Bar;エスクワイア: 弁護士を夢見る弁護士たち﻿;夢想成為律師的律師們;Esquire,drama,이진욱;정채연,JTBC,2025-08-02 ~ 2025-09-07,방영종료,52,52,3,서울특별시,Q134735571,13,Beyond the Bar,575892,13.0,30.6,20.0,63.6,25,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%97%90%EC%8A%A4%EC%BD%B0%EC%9D%B4%EC%96%B4.webp,,https://kdramamap.com/drama/%ec%97%90%ec%8a%a4%ec%bd%b0%ec%9d%b4%ec%96%b4/,2026-07-29
w_0177,반짝이는워터멜론,반짝이는 워터멜론,Twinkling Watermelon,반짝이는 워터멜론;Twinkling Watermelon;輝くウォーターメロン～僕らをつなぐ恋うた～;閃亮的西瓜;Sparkling Watermelon,drama,려운;최현욱;설인아,tvN,2023-09-25 ~ 2023-11-14,방영종료,83,80,11,서울특별시,Q118869205,16,Twinkling Watermelon,382365,16.0,27.51,19.82,63.33,26,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EB%B0%98%EC%A7%9D%EC%9D%B4%EB%8A%94%EC%9B%8C%ED%84%B0%EB%A9%9C%EB%A1%A0.webp,,https://kdramamap.com/drama/%eb%b0%98%ec%a7%9d%ec%9d%b4%eb%8a%94%ec%9b%8c%ed%84%b0%eb%a9%9c%eb%a1%a0/,2026-07-29
w_0204,사내맞선,사내맞선,Business Proposal,Business Proposal;社内お見合い;社內相親;A Business Proposal,drama,안효섭;김세정,SBS,2022-02-28 ~ 2022-04-05,방영종료,22,22,2,서울특별시,Q108486931,23,Business Proposal,353383,23.0,26.91,13.25,63.16,27,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%82%AC%EB%82%B4%EB%A7%9E%EC%84%A0.webp,,https://kdramamap.com/drama/%ec%82%ac%eb%82%b4%eb%a7%9e%ec%84%a0/,2026-07-29
w_0348,응답하라1988,응답하라 1988,Reply 1988,응답하라 1988;Reply 1988;応答せよ1988;請回答1988;Eung-dab-ha-ra 1988,drama,혜리;박보검;류준열;고경표,tvN,2015-11-06 ~ 2016-01-16,방영종료,15,15,1,서울특별시,Q19657395,26,Reply 1988,330053,26.0,26.4,10.62,63.02,28,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%9D%91%EB%8B%B5%ED%95%98%EB%9D%BC1988.webp,,https://kdramamap.com/drama/%ec%9d%91%eb%8b%b5%ed%95%98%eb%9d%bc1988/,2026-07-29
w_0012,W,더블유,W,더블유;W-二つの世界-;Two Worlds;W - Du gaeui segye;W - Two Worlds,drama,이종석;한효주,MBC,2016-07-20 ~ 2016-09-14,방영종료,21,21,1,서울특별시,Q22774205,32,W (TV series),108887,32.0,18.03,12.88,62.9,29,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/w.webp,,https://kdramamap.com/drama/w/,2026-07-29
w_0425,킹더랜드,킹더랜드,King the Land,King the Land;キング・ザ・ランド;歡迎來到王之國,drama,이준호;임윤아,JTBC,2023-06-17 ~ 2023-08-06,방영종료,79,61,6,경기도,Q114243955,18,King the Land,305991,18.0,25.83,18.86,62.69,30,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%ED%82%B9%EB%8D%94%EB%9E%9C%EB%93%9C.webp,,https://kdramamap.com/drama/%ed%82%b9%eb%8d%94%eb%9e%9c%eb%93%9c/,2026-07-29
w_0360,이태원클라쓰,이태원 클라쓰,Itaewon Class,이태원 클라쓰;Itaewon Class;梨泰院クラス;梨泰院CLASS;Itaewon Keullasseu,drama,박서준;김다미;권나라;유재명,JTBC,2020-01-31 ~ 2020-03-21,방영종료,26,26,1,서울특별시,Q65283099,27,Itaewon Class,159929,27.0,20.93,14.75,62.68,31,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%9D%B4%ED%83%9C%EC%9B%90%ED%81%B4%EB%9D%BC%EC%93%B0.webp,,https://kdramamap.com/drama/%ec%9d%b4%ed%83%9c%ec%9b%90%ed%81%b4%eb%9d%bc%ec%93%b0/,2026-07-29
w_0227,선재업고튀어,선재 업고 튀어,Lovely Runner,선재 업고 튀어;Lovely Runner;ソンジェ背負って走れ;背著善宰跑;Lovley-Runner;Runaway with Sun-jae on Piggyback;Sunjae Eobgo Tweeeo,drama,변우석;김혜윤,tvN,2024-04-08 ~ 2024-05-28,방영종료,92,92,9,서울특별시,Q121144610,15,Lovely Runner,372849,15.0,27.32,20.0,62.32,32,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%84%A0%EC%9E%AC%EC%97%85%EA%B3%A0%ED%8A%80%EC%96%B4.webp,"《선재 업고 튀어》는 최애 류선재의 죽음을 막기 위해 임솔이 2008년으로 돌아가 운명을 바꾸려는 청춘 타임슬립 로맨스입니다. 서울·경기·충남 등 전국의 학교와 골목에서 촬영됐으며, 이 페이지에서 92곳의 촬영지 주소와 지역별 분포, 지도 정보를 확인할 수 있습니다.",https://kdramamap.com/drama/%ec%84%a0%ec%9e%ac%ec%97%85%ea%b3%a0%ed%8a%80%ec%96%b4/,2026-07-29
w_0420,키스는괜히해서,키스는 괜히 해서!,Dynamite Kiss,키스는 괜히 해서!;Dynamite Kiss;ダイナマイト・キス;一吻爆炸,drama,장기용;안은진,SBS,2025-11-12 ~ 2025-12-18,방영종료,80,80,6,서울특별시,Q136373942,9,Dynamite Kiss,809854,9.0,33.17,20.0,62.17,33,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%ED%82%A4%EC%8A%A4%EB%8A%94%EA%B4%9C%ED%9E%88%ED%95%B4%EC%84%9C.webp,,https://kdramamap.com/drama/%ed%82%a4%ec%8a%a4%eb%8a%94%ea%b4%9c%ed%9e%88%ed%95%b4%ec%84%9c/,2026-07-29
w_0359,이재곧죽습니다,"이재, 곧 죽습니다",Death's Game,"이재, 곧 죽습니다;Death's Game;もうすぐ死にます;死期將至",drama,서인국;박소담;김지훈;최시원,TVING,2023-12-15 ~ 2024-01-05,방영종료,62,60,12,서울특별시,Q121145295,18,Death's Game,244289,18.0,24.13,19.84,61.97,34,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%9D%B4%EC%9E%AC%EA%B3%A7%EC%A3%BD%EC%8A%B5%EB%8B%88%EB%8B%A4.webp,,https://kdramamap.com/drama/%ec%9d%b4%ec%9e%ac%ea%b3%a7%ec%a3%bd%ec%8a%b5%eb%8b%88%eb%8b%a4/,2026-07-29
w_0147,마이데몬,마이데몬,My Demon,My Demon;マイ・デーモン;與惡魔有約;마이 데몬,drama,김유정;송강,SBS,2023-11-24 ~ 2024-01-20,방영종료,58,57,5,서울특별시,Q120721044,18,My Demon,241105,18.0,24.03,19.91,61.94,35,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EB%A7%88%EC%9D%B4%EB%8D%B0%EB%AA%AC.webp,,https://kdramamap.com/drama/%eb%a7%88%ec%9d%b4%eb%8d%b0%eb%aa%ac/,2026-07-29
w_0366,일타스캔들,일타 스캔들,Crash Course in Romance,일타 스캔들;Crash Course in Romance;イルタ・スキャンダル -恋は特訓コースで-;頭等緋聞;Ilta Scandal;One Shot Scandal,drama,전도연;정경호,tvN,2023-01-14 ~ 2023-03-05,방영종료,90,86,6,서울특별시,Q113994390,16,Crash Course in Romance,318991,16.0,26.14,19.78,61.92,36,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%9D%BC%ED%83%80%EC%8A%A4%EC%BA%94%EB%93%A4.webp,,https://kdramamap.com/drama/%ec%9d%bc%ed%83%80%ec%8a%a4%ec%ba%94%eb%93%a4/,2026-07-29
w_0336,월간남친,월간남친,Boyfriend on Demand,Boyfriend on Demand;マンスリー彼氏﻿;訂閱男友;Monthly Boyfriend,drama,서인국;지수_1995,Netflix,2026-03-06 ~ 2026-03-06,방영종료,102,94,6,서울특별시,Q132561179,12,Boyfriend on Demand,496626,12.0,29.48,19.61,61.09,37,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%9B%94%EA%B0%84%EB%82%A8%EC%B9%9C.webp,,https://kdramamap.com/drama/%ec%9b%94%ea%b0%84%eb%82%a8%ec%b9%9c/,2026-07-29
w_0377,조각도시,조각도시,The Manipulated,The Manipulated;捏造された都市;操控遊戲,drama,지창욱;도경수;이광수,Disney+,2025-11-05 ~ 2025-12-03,방영종료,87,86,7,서울특별시,Q131302259,9,The Manipulated,674135,9.0,31.79,19.94,60.73,38,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%A1%B0%EA%B0%81%EB%8F%84%EC%8B%9C.webp,,https://kdramamap.com/drama/%ec%a1%b0%ea%b0%81%eb%8f%84%ec%8b%9c/,2026-07-29
w_0367,자백의대가,자백의 대가,The Price of Confession,자백의 대가;The Price of Confession;告白の代価﻿;認罪之罪,drama,전도연;김고은;박해수,Netflix,2025-12-05 ~ 2025-12-05,방영종료,47,44,6,경기도,Q131822507,13,The Price of Confession,405253,13.0,27.95,19.68,60.63,39,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EC%9E%90%EB%B0%B1%EC%9D%98%EB%8C%80%EA%B0%80.webp,,https://kdramamap.com/drama/%ec%9e%90%eb%b0%b1%ec%9d%98%eb%8c%80%ea%b0%80/,2026-07-29
w_0192,북극성,북극성,Tempest,북극성;Tempest;北極星;暴風圈,drama,전지현;강동원,Disney+,2025-09-10 ~ 2025-10-01,방영종료,37,37,10,서울특별시,Q131724637,9,Tempest (TV series),757688,9.0,32.67,18.88,60.55,40,Y,https://kdramamap.com/wp-content/uploads/kdramamap/posters/%EB%B6%81%EA%B7%B9%EC%84%B1.webp,,https://kdramamap.com/drama/%eb%b6%81%ea%b7%b9%ec%84%b1/,2026-07-29
