title_key,표기,category,수집_글수,전체_성지수,S,A,B,C,채택수,대표성지_TOP5
호텔델루나,호텔델루나,drama,92,43,1,7,3,32,8,목포근대역사관 1관(28) / 성흥산성 사랑나무(8) / 호텔세느장(8) / 파라다이스시티(6) / 망상해수욕장(4)
나의아저씨,나의 아저씨 / 나의아저씨,drama,63,58,2,5,5,46,7,백빈건널목(삼각지 철길건널목)(24) / 철도건널목(12) / 서울 용산구(5) / 정희네(정희의 집·편의점)(4) / 꼬꼬닭(3)
내남편과결혼해줘,내 남편과 결혼해줘 / 내남편과결혼해줘,drama,45,120,0,7,20,93,7,T12(2) / 교하정(2) / 봄파머스가든(2) / 옥천횟집(2) / 중리항방파제등대(2)
빈센조,빈센조,drama,68,23,5,2,1,15,7,세운상가(세운청계상가)(11) / 청계천(서린동)(10) / 동대문디자인플라자(DDP)(6) / 서울로7017(4) / 한국은행 화폐박물관(4)
사랑의불시착,사랑의 불시착 / 사랑의불시착,drama,80,26,1,6,7,12,7,비내섬(14) / 중앙탑사적공원(3) / 탄금호 무지개길(3) / 별마로천문대(2) / 선녀바위해변(2)
오싹한연애,오싹한 연애,drama,57,21,6,1,4,10,7,롯데호텔 제주(5) / 그랜드 워커힐 서울(5) / 콘래드 서울(5) / 농암종택(3) / 제주신라호텔(3)
응답하라1988,응답하라 1988 / 응답하라1988,drama,77,20,2,5,2,11,7,동광극장(3) / 최규하대통령가옥(3) / 쌍문역(2) / 얄개분식(2) / 코스모스(2)
이번생도잘부탁해,이번 생도 잘 부탁해 / 이번생도잘부탁해,drama,26,91,2,5,28,56,7,무진정(6) / 산청동의보감촌(6) / 롯데월드(4) / 채석강(4) / 스위스그랜드호텔(4)
이재곧죽습니다,이재 곧 죽습니다 / 이재곧죽습니다,drama,43,65,2,6,25,32,7,울산대교(4) / 태화강국가정원(3) / 보령청보리밭(3) / 더체어펜션(2) / 약현성당(2)
트웰브,트웰브,drama,36,47,2,5,5,35,7,회암사지박물관(4) / 춘천경찰서(3) / 대진대학교(3) / 반야사(3) / 배다리사거리(2)
더글로리,더 글로리 / 더글로리,drama,51,112,5,1,11,95,6,청라호수공원(청라원)(8) / 용화사(7) / 멍때림(6) / 청주중앙공원(5) / 세종호수공원(3)
사이코지만괜찮아,사이코지만 괜찮아 / 사이코지만괜찮아,drama,49,26,3,3,1,19,6,시크릿블루카페(괜찮은병원)(21) / 사니다카페(저주받은 성)(18) / 아야진해변(11) / 소금산출렁다리(4) / 버스정류장(2)
슈룹,슈룹,drama,51,10,5,1,3,1,6,전주한옥마을(6) / 창덕궁(낙선재·인정전)(5) / 문경새재오픈세트장(5) / 용인대장금파크(5) / 전주향교(3)
킹덤,킹덤,drama,35,18,4,2,0,12,6,비둘기낭폭포(한탄강)(12) / 문경새재 오픈세트장(7) / 경복궁(6) / 창덕궁(4) / 안동 하회마을 부용대(2)
경이로운소문2,경이로운소문2,drama,26,61,2,3,23,33,5,이케아 고양점(5) / 루하스사우나(3) / 금강랜드(2) / 동부빌딩(2) / 서정대학교 서정관(2)
별에서온그대,별에서 온 그대 / 별에서온그대,drama,79,33,2,3,17,11,5,장사도해상공원(23) / 쁘띠프랑스(19) / 학림다방(3) / N서울타워(3) / 국립극장(2)
알고있지만,알고있지만,drama,61,40,3,2,2,33,5,3917마중(11) / 여유도예공방(6) / 울산대학교(4) / 미메시스 아트 뮤지엄(2) / 삽교호놀이동산(2)
오징어게임,오징어 게임 / 오징어게임,drama,70,31,3,3,7,18,5,선갑도(8) / 백운시장(4) / 팔도건어물(4) / CU 쌍문우이천점(2) / 양재시민의숲역(신분당선 강남방면 승강장)(2)
해운대,해운대,movie,107,13,4,1,1,7,5,광안대교(26) / 해운대해수욕장(15) / 동백섬(8) / 오륙도(8) / 다대포해수욕장(3)
광해왕이된남자,"광해, 왕이 된 남자",movie,70,7,3,1,1,2,4,부안영상테마파크(5) / 문경새재 오픈세트장(4) / 전주 경기전(3) / 남원 광한루원(2) / 안동 옥연정사(1)
뉴토피아,뉴토피아,drama,36,34,3,1,2,28,4,강남대로(8) / 서강대교(5) / 다소유(3) / 고속터미널역(2) / 롯데프리미엄아울렛 의왕점(1)
더킹,더킹,drama,79,20,1,3,5,11,4,아홉산숲(18) / 동백섬(5) / 벡스코(3) / 다대포해수욕장(2) / 광화문광장(1)
도깨비,도깨비,drama,61,77,1,3,3,70,4,주문진방파제(6) / 경포대(2) / 강릉중앙시장(2) / 운현궁양관(2) / 달콤커피(1)
디어엠,디어엠,drama,21,53,2,2,2,47,4,전북대학교 전주캠퍼스(4) / 연세대학교 신촌캠퍼스(3) / 상명대학교 천안캠퍼스(2) / 호서대학교 아산캠퍼스(2) / 감고당길(1)
라켓소년단,라켓소년단,drama,71,10,3,1,2,4,4,보리나라 학원농장(8) / 사천중학교(8) / 강릉고등학교(3) / 광안리해수욕장(2) / 돔베이커리(2)
러브미,러브미,drama,41,34,1,3,8,22,4,허니문하우스(3) / 금오름(2) / 서울여자대학교(2) / 애플돈까스(2) / 맘마농가식자재마트(1)
마이네임,마이네임,drama,81,8,1,3,0,4,4,해동용궁사(24) / 깡깡이예술마을(6) / 부산해양경찰서 (경찰서 세트)(6) / 부산대교(4) / 돈화문로 고깃집(0)
명량,명량,movie,53,9,2,2,0,5,4,울돌목(20) / 우수영국민관광지(6) / 청해포구촬영장(5) / 광양항 해양공원(3) / 고양아쿠아특수촬영스튜디오(0)
무빙,무빙,drama,72,64,1,3,6,54,4,양다방(17) / 세명대학교(3) / (구)홍성여자고등학교(2) / 자유공원남로(2) / 남산서울타워(1)
범죄도시3,범죄도시3,movie,57,5,2,2,0,1,4,송도센트럴파크호텔(5) / 팬시 앤 게임(4) / 김포 아라마리나(2) / 춘천경찰서(2) / 테헤란로86길·명진빌딩 앞(0)
사내맞선,사내맞선,drama,44,38,2,2,5,29,4,자유공원(4) / 카페 산들언덕(3) / 밤가시공원(2) / 스카이베이호텔 경포(2) / 남산타워(1)
작은아씨들,작은 아씨들 / 작은아씨들,drama,81,31,3,1,3,24,4,에이미(4) / 아베크청담(3) / 보칼리노(3) / 바캉스커피(2) / 서울로7017(1)
지금거신전화는,지금 거신 전화는 / 지금거신전화는,drama,20,68,3,1,22,42,4,비봉산 전망대(4) / 청기와타운 송도점(3) / 라움아트센터(3) / 삼성해맞이공원(3) / 긴자료코 강남본점(1)
태양의후예,태양의 후예 / 태양의후예,drama,68,22,2,2,2,16,4,통리탄탄파크(16) / 삼탄아트마인(8) / 송도센트럴파크(3) / 태양의후예공원(태백 오픈세트장)(2) / 신포국제시장(1)
S라인,S라인,drama,24,28,0,0,3,25,3,삼산경찰서(1) / 서울공업고등학교(1) / 완성빌라(1) / 가치(0) / 더쿠스(0)
국제시장,국제시장,movie,75,6,1,2,1,2,3,국제시장(꽃분이네)(59) / 용두산공원(8) / 천마산 하늘전망대(6) / 태종대(1) / 수영만 요트경기장(0)
김비서가왜그럴까,김비서가 왜 그럴까 / 김비서가왜그럴까,drama,57,22,2,1,2,17,3,지혜의숲(4) / 한탄강 하늘다리(4) / 보정동 카페거리(2) / 에버랜드(1) / 의외의조합(1)
나쁜엄마,나쁜엄마,drama,41,66,2,3,2,59,3,한밤마을(14) / 한밤마을 돌담길(9) / 구미여자상업고(2) / 미래농원(2) / 미래농원 MRNW(2)
낭만닥터김사부3,낭만닥터 김사부 3 / 낭만닥터김사부3,drama,56,22,2,1,3,16,3,돌담병원(46) / 산정호수 둘레길(18) / 문화8구역(재개발지역)(2) / 다락고개추어탕(1) / 쌀통닭 신천점(1)
마스크걸,마스크걸,drama,26,55,0,3,18,34,3,덕수콜택시(2) / 해운대중학교(2) / 호텔토마스 명동(2) / 썰스데이파티 이태원점(1) / 장암저수지(국망봉자연휴양림)(1)
마이데몬,마이 데몬 / 마이데몬,drama,27,64,0,3,14,47,3,그랜드하얏트 서울(2) / 용인대장금파크(2) / 자작도해수욕장(2) / 서울숲 거울연못(2) / 성신여자대학교 운정그린캠퍼스(2)
범죄도시4,범죄도시4,movie,40,4,2,1,1,0,3,팬시 앤 게임(8) / 한향림도자미술관(3) / 애스턴마틴 서울(2) / 한채당(1)
부산행,부산행,movie,61,7,1,2,1,3,3,부전역(3) / 동대구역(2) / 행신역(2) / 삽교역(1) / 부산영화촬영스튜디오(0)
비밀의숲,비밀의 숲 / 비밀의숲,drama,72,32,0,0,5,27,3,인하대학교 본관(2) / 5500012카페(1) / 더사보르(1) / 승진슈퍼(1) / 오거리감자탕(1)
서울의봄,서울의 봄,movie,37,8,2,1,2,3,3,청남대(5) / 조선대학교 본관(3) / 한남대학교 사범대학(2) / 한남대학교 탈메이지기념관(1) / 오산대학교(1)
시그널,시그널,drama,91,25,3,0,3,19,3,헌화로(9) / 정동진(7) / 노원경찰서(5) / 금진항(4) / GS25 중계에이스점(4)
약한영웅Class2,약한영웅 Class 2,drama,40,9,0,0,4,5,3,농구장(도봉동)(1) / 강동경희대병원(1) / 대신고 앞 철길 횡단 육교(1) / 지산빌딩(1) / CU 공군호텔점(0)
에스콰이어변호사를꿈꾸는변호사들,에스콰이어: 변호사를 꿈꾸는 변호사들,drama,40,13,2,1,7,3,3,오렌지플래닛(6) / 아나키아(3) / 달빛애견글램핑(2) / 독투독(우쭈쭈케어센터 합정점)(1) / 구스커피앤바(1)
여신강림,여신강림,drama,60,82,2,1,9,70,3,설리 스카이워크(13) / 왕자만화방(와이앤아니마)(6) / 감고당길(2) / 국립현대미술관 서울관 앞 도로(삼청로)(1) / 남도분식(1)
연인,연인,drama,107,19,1,2,12,4,3,보리나라 학원농장(청보리밭)(4) / 고석정(3) / 무릉계곡(3) / 남양주종합촬영소(2) / 바람의화원 세트장(2)
철인왕후,철인왕후,drama,61,10,2,1,1,6,3,궁남지(39) / 광한루원(16) / 용인대장금파크(5) / 선교장(1) / 경상남도수목원(0)
태극기휘날리며,태극기 휘날리며,movie,39,9,2,1,2,4,3,공세리성당(11) / 합천 영상 테마파크(9) / 합천 황매산(3) / 사북석탄역사체험관(1) / 외암민속마을(1)
택시운전사,택시운전사,movie,72,10,1,2,2,5,3,청소역 장항선(18) / 성주 버스 정류장(2) / 합천 영상 테마파크(2) / 칠백장장인국밥(1) / 허리케인 레스토랑(1)
파묘,파묘,movie,43,10,2,1,3,4,3,국립아시아문화전당(ACC)(10) / 담양 경상리 느티나무(당산나무)(4) / 아홉산숲(2) / 대운산자연휴양림(1) / 더 플라자 서울(1)
7번방의선물,7번방의 선물,movie,33,2,1,1,0,0,2,익산교도소세트장(19) / 홍제동 개미마을(3)
공조2인터내셔날,공조2: 인터내셔날,movie,17,12,0,0,2,10,2,세빛섬(1) / 조선팰리스 강남(1) / 나진상가(0) / 남북출입사무소(0) / 동화경모공원(0)
관상,관상,movie,47,4,1,1,0,2,2,설매재자연휴양림(7) / 궁남지(4) / 고창읍성·맹종죽림(0) / 용문사(0)
괴물,괴물,movie,57,3,0,0,2,1,2,동작대교(1) / 잠실대교(1) / 여의도공원(0)
극한직업,극한직업,movie,54,6,1,1,1,3,2,배다리헌책방거리(15) / 광양항(4) / 장항항(1) / 군산내항 부잔교(0) / 소통한우축산(0)
달의연인보보경심려,달의연인-보보경심 려,drama,13,13,1,1,0,11,2,월화원(수원 효원공원)(9) / 밀양 위양지(위양못)(2) / 강릉 선교장(0) / 경산 반곡지(0) / 광한루(0)
마더,마더,drama,45,10,1,1,6,2,2,오정동 선교사촌(한남대학교 선교사촌)(3) / 삼척항(2) / 국립산림과학원(1) / 롯데콘서트홀(1) / 불은초등학교(1)
베테랑2,베테랑2,movie,76,3,0,0,2,1,2,N서울타워(1) / 춘천대교(1) / 덕만이터널(0)
사냥개들2,사냥개들2,drama,27,65,1,1,8,55,2,군산체육관(3) / 인천공항(2) / 구움다방(폐업)(1) / 김천 폐대학(1) / 모던복싱클럽 도래울점(1)
수상한그녀,수상한 그녀,movie,41,8,1,1,1,5,2,청운반점(3) / 금성당(2) / 고운당(1) / 구립노원실버카페(0) / 대명비발디파크 오션월드(0)
슬기로운감빵생활,슬기로운감빵생활,drama,43,15,2,0,0,13,2,익산교도소세트장(10) / 빠삐용Zip(옛 장흥교도소)(5) / 개화동집(0) / 고척스카이돔(0) / 대우트럼프월드II(0)
슬기로운의사생활,슬기로운 의사생활 / 슬기로운의사생활,drama,38,16,1,1,0,14,2,이대서울병원(16) / 수노래방(2) / 경인미술관(0) / 고바우(칼국수집)(0) / 군부대(오음리)(0)
써니,써니,movie,66,5,2,0,1,2,2,제물포 시장(4) / 합천 영상 테마파크(3) / 철도박물관(1) / 안동하회마을 만송정 숲(0) / 정동길(0)
아이돌아이,아이돌아이,drama,39,76,0,0,2,74,2,광한루원(1) / 조이마당스튜디오(1) / 타임스퀘어(0) / LG사이언스파크 정류장(16108)(0) / YTN본사(0)
암살,암살,movie,62,8,2,0,1,5,2,백인제 가옥(19) / 합천 영상 테마파크(7) / 운현궁 양관(1) / 낙산공원(0) / 문화역서울284(0)
오징어게임3,오징어게임3,drama,34,9,2,0,3,4,2,서울랜드(4) / 카프리모텔(3) / 다포항(2) / 양양공항(1) / 천안외국인교도소(1)
친구,친구,movie,85,8,0,0,2,6,2,대변항(1) / 영도대교(1) / 국제시장(0) / 매축지마을 철길·육교(0) / 부산국제관광호텔(0)
킬러들의쇼핑몰,킬러들의 쇼핑몰 / 킬러들의쇼핑몰,drama,34,17,0,2,6,9,2,섬강 수변공원(2) / 양평버스터미널(2) / 놀뫼시민장례원(1) / 상관반점(1) / 제천서울병원(1)
힐러,힐러,drama,51,21,2,0,4,15,2,수암골 벽화마을(3) / 운보의 집(3) / 달링(the fab)(3) / 성안길(1) / 청남대 본관(1)
힘쎈여자도봉순,힘쎈여자도봉순,drama,34,27,1,1,1,24,2,낙산공원(3) / 보라매공원(2) / 더화이트베일(1) / 대둔산(0) / 508샵(0)
1987,1987,movie,30,8,1,0,0,7,1,연희네 슈퍼(20) / 문화공감수정(0) / 민주인권기념관(0) / 서울특별시청(0) / 연세대학교 신촌캠퍼스(0)
공조,공조,movie,26,6,0,0,1,5,1,낙산공원(1) / 라한셀렉트 경주(0) / 이태원세계음식거리(0) / 이태원앤틱가구거리(0) / 인터컨티넨탈 서울 코엑스(0)
광장,광장,drama,60,35,1,0,6,28,1,성모의원(3) / 국회의사당(1) / 남부상가아파트(1) / 사비나미술관(1) / 성지펜션(1)
국가대표,국가대표,movie,78,2,1,0,1,0,1,알펜시아 스키점프센터(4) / 부귀 메타세쿼이아길(1)
나빌레라,나빌레라,drama,64,24,1,0,1,22,1,비맨션(10) / 웅진플레이도시(1) / 여의도한강공원(0) / 당진문예의전당(0) / 동작대교(0)
내부자들,내부자들,movie,58,6,0,1,1,4,1,아소산 일산본점(2) / 운보의 집(1) / 마포공덕시장(0) / 운보의집운보미술관(0) / 익산 교도소 세트장(0)
당신이잠든사이에,당신이 잠든 사이에 / 당신이잠든사이에,drama,38,44,0,1,2,41,1,자도르 본점(2) / 삼척해수욕장(1) / 안성팜랜드(1) / SBS(0) / WE ARE YOUNG 벽화(0)
도둑들,도둑들,movie,35,4,0,0,1,3,1,부산데파트(1) / 벡스코(0) / 부산디자인진흥원(0) / 자갈치공영주차장(0)
럭키,럭키,movie,24,9,0,1,3,5,1,전곡항(2) / 안즈나선아당신생각(1) / 원미상가아파트(1) / 인천아트플랫폼(1) / 남양주 종합촬영소(0)
마스터,마스터,movie,42,8,0,0,1,7,1,청심평화월드센터(1) / 더케이트윈타워(0) / 봉은사(0) / 서대문형무소역사관(0) / 서울중부경찰서(0)
모범택시,모범택시,drama,49,15,0,1,1,13,1,쌍용반점(2) / 비응항(1) / BMW드라이빙센터(0) / SBS 일산제작센터(0) / 나로우주센터 우주과학관(0)
모범택시1,모범택시1,drama,37,12,1,0,1,10,1,문화교통(4) / 코끼리문방구(1) / SBS프리즘타워(0) / 개화동집(0) / 덕수궁 돌담길(0)
밀정,밀정,movie,45,2,1,0,0,1,1,합천영상테마파크(16) / 문경새재오픈세트장(0)
범죄도시2,범죄도시2,movie,53,8,0,1,1,6,1,월곡마트(2) / NC백화점 광주점(1) / 국립광주과학관(0) / 국빈장례문화원(0) / 남항유어선부두(0)
베테랑,베테랑,movie,81,3,1,0,1,1,1,아난티 클럽 서울(3) / 스테이트 타워 남산(1) / 부산 신선대(0)
변호인,변호인,movie,38,7,1,0,1,5,1,흰여울문화마을(29) / 대전 근현대사 전시관(1) / 군산 내항 철도(0) / 군산 둔율동 성당(0) / 보수동 책방 골목(0)
스위트홈2,스위트홈 2 / 스위트홈2,drama,40,10,0,0,1,9,1,"더현대서울(1) / 강변북로(0) / 동부산관광단지 센트럴원(0) / 반포대교,잠수교(0) / 부천아트벙커 B39(0)"
신과함께죄와벌,신과함께-죄와 벌,movie,25,5,0,0,1,4,1,기장소방서(1) / KNN타워·센텀광장(0) / 구 부산해사고등학교(0) / 명지국제신도시 일대(0) / 정관도서관(0)
실미도,실미도,movie,101,1,1,0,0,0,1,실미도(71)
악의꽃,악의꽃,drama,69,25,0,0,1,24,1,자하슈퍼(은하수슈퍼)(1) / GVO 안산본점(0) / 가온문화공원(0) / 고성 알프스리조트(0) / 구로기계공구상가(0)
언젠가는슬기로울전공의생활,언젠가는 슬기로울 전공의생활,drama,35,32,1,0,4,27,1,용인세브란스병원(6) / 루하스사우나(1) / 삼거마을 삼성래미안1차(1) / 삼거마을삼성래미안1차아파트(1) / 준오헤어 문정역테라타워점(1)
역도요정김복주,역도요정 김복주 / 역도요정김복주,drama,38,32,1,0,4,27,1,인하대학교(5) / 명보아트홀 앞 사거리(1) / 용인대학교(1) / 이월드(1) / 작은마을(1)
왕의남자,왕의 남자,movie,62,5,1,0,1,3,1,부안영상테마파크(4) / 고창읍성(1) / 남양주종합촬영소(0) / 설매재자연휴양림(0) / 화성행궁(0)
인천상륙작전,인천상륙작전,movie,45,6,1,0,0,5,1,합천영상테마파크(3) / 계명대학교 성서캠퍼스(0) / 광천토굴새우젓시장(0) / 마시안해변(0) / 삽교호함상공원(0)
지금우리학교는,지금 우리 학교는 / 지금우리학교는,drama,44,9,1,0,1,7,1,성희여자고등학교(15) / 목척교(1) / 김밥천국(0) / 마라탕(0) / 성일아파트301동(0)
지옥,지옥,drama,76,12,0,1,1,10,1,한국지역정보개발원(2) / 법원로12길 일대(문정동)(1) / KBS 본관(0) / 경희대학교 국제캠퍼스 중앙도서관(0) / 대전정보문화산업진흥원 인근 실내스튜디오(0)
초콜릿,초콜릿,drama,71,16,0,1,1,14,1,대천해수욕장(2) / 정도리 구계등(1) / 계명대학교 동산병원(0) / 나프플리오(0) / 당머리 참장어거리(0)
최종병기활,최종병기 활,movie,40,3,1,0,0,2,1,공기마을 편백나무숲(4) / 운일암반일암(0) / 황매산(0)
터널,터널,movie,93,2,0,1,0,1,1,옥천터널(폐터널)(2) / 증약터널(0)
피노키오,피노키오,drama,27,41,0,0,1,40,1,청산도 서편제길(1) / JTBC(0) / KDB산업은행앞(0) / MBC앞(0) / NC백화점(0)
한산용의출현,한산: 용의 출현,movie,51,4,0,0,1,3,1,흥국사(1) / 돌산진모지구 세트장(0) / 순천왜성(0) / 전라병영성(0)
