title_key,표기,category,수집_글수,v4_성지수,S,A,최종채택,LLM제외,채택성지
빈센조,빈센조,drama,68,23,5,2,7,0,세운상가(세운청계상가)(11) / 청계천(서린동)(10) / 동대문디자인플라자(DDP)(6) / 서울로7017(4) / 한국은행 화폐박물관(4)
사랑의불시착,사랑의 불시착 / 사랑의불시착,drama,80,26,1,6,7,0,비내섬(14) / 중앙탑사적공원(3) / 탄금호 무지개길(3) / 별마로천문대(2) / 선녀바위해변(2)
오싹한연애,오싹한 연애,drama,57,21,6,1,7,0,롯데호텔 제주(5) / 그랜드 워커힐 서울(5) / 콘래드 서울(5) / 농암종택(3) / 제주신라호텔(3)
응답하라1988,응답하라 1988 / 응답하라1988,drama,77,20,2,5,7,0,동광극장(3) / 최규하대통령가옥(3) / 쌍문역(2) / 얄개분식(2) / 코스모스(2)
이번생도잘부탁해,이번 생도 잘 부탁해 / 이번생도잘부탁해,drama,26,91,2,5,7,0,무진정(6) / 산청동의보감촌(6) / 롯데월드(4) / 채석강(4) / 명선도(3)
이재곧죽습니다,이재 곧 죽습니다 / 이재곧죽습니다,drama,43,65,2,6,7,0,울산대교(4) / 태화강국가정원(3) / 보령청보리밭(3) / 더체어펜션(2) / 약현성당(2)
트웰브,트웰브,drama,36,47,2,5,7,0,회암사지박물관(4) / 춘천경찰서(3) / 대진대학교(3) / 반야사(3) / 배다리사거리(2)
나의아저씨,나의 아저씨 / 나의아저씨,drama,63,58,2,5,6,1,백빈건널목(삼각지 철길건널목)(24) / 철도건널목(12) / 정희네(정희의 집·편의점)(4) / 꼬꼬닭(3) / 정수사(강화)(3)
더글로리,더 글로리 / 더글로리,drama,51,112,5,1,6,0,청라호수공원(청라원)(8) / 용화사(7) / 멍때림(6) / 청주중앙공원(5) / 세종호수공원(3)
사이코지만괜찮아,사이코지만 괜찮아 / 사이코지만괜찮아,drama,49,26,3,3,6,0,시크릿블루카페(괜찮은병원)(21) / 사니다카페(저주받은 성)(18) / 아야진해변(11) / 소금산출렁다리(4) / 버스정류장(2)
슈룹,슈룹,drama,51,10,5,1,6,0,전주한옥마을(6) / 창덕궁(낙선재·인정전)(5) / 문경새재오픈세트장(5) / 용인대장금파크(5) / 전주향교(3)
킹덤,킹덤,drama,35,18,4,2,6,0,비둘기낭폭포(한탄강)(12) / 문경새재 오픈세트장(7) / 경복궁(6) / 창덕궁(4) / 안동 하회마을 부용대(2)
경이로운소문2,경이로운소문2,drama,26,61,2,3,5,0,이케아 고양점(5) / 루하스사우나(3) / 금강랜드(2) / 동부빌딩(2) / 서정대학교 서정관(2)
별에서온그대,별에서 온 그대 / 별에서온그대,drama,79,33,2,3,5,0,장사도해상공원(23) / 쁘띠프랑스(19) / 학림다방(3) / N서울타워(3) / 국립극장(2)
알고있지만,알고있지만,drama,61,40,3,2,5,0,3917마중(11) / 여유도예공방(6) / 울산대학교(4) / 미메시스 아트 뮤지엄(2) / 삽교호놀이동산(2)
오징어게임,오징어 게임 / 오징어게임,drama,70,31,3,3,5,0,선갑도(8) / 백운시장(4) / 팔도건어물(4) / CU 쌍문우이천점(2) / 양재시민의숲역(신분당선 강남방면 승강장)(2)
해운대,해운대,movie,107,13,4,1,5,0,광안대교(26) / 해운대해수욕장(15) / 동백섬(8) / 오륙도(8) / 다대포해수욕장(3)
광해왕이된남자,"광해, 왕이 된 남자",movie,70,7,3,1,4,0,부안영상테마파크(5) / 문경새재 오픈세트장(4) / 전주 경기전(3) / 남원 광한루원(2)
더킹,더킹,drama,79,20,1,3,4,0,아홉산숲(18) / 동백섬(5) / 벡스코(3) / 다대포해수욕장(2)
도깨비,도깨비,drama,61,77,1,3,4,0,주문진방파제(6) / 경포대(2) / 강릉중앙시장(2) / 운현궁양관(2)
디어엠,디어엠,drama,21,53,2,2,4,0,전북대학교 전주캠퍼스(4) / 연세대학교 신촌캠퍼스(3) / 상명대학교 천안캠퍼스(2) / 호서대학교 아산캠퍼스(2)
라켓소년단,라켓소년단,drama,71,10,3,1,4,0,보리나라 학원농장(8) / 사천중학교(8) / 강릉고등학교(3) / 광안리해수욕장(2)
러브미,러브미,drama,41,34,1,3,4,0,허니문하우스(3) / 금오름(2) / 서울여자대학교(2) / 애플돈까스(2)
마이네임,마이네임,drama,81,8,1,3,4,0,해동용궁사(24) / 깡깡이예술마을(6) / 부산해양경찰서 (경찰서 세트)(6) / 부산대교(4)
명량,명량,movie,53,9,2,2,4,0,울돌목(20) / 우수영국민관광지(6) / 청해포구촬영장(5) / 광양항 해양공원(3)
무빙,무빙,drama,72,64,1,3,4,0,양다방(17) / 세명대학교(3) / (구)홍성여자고등학교(2) / 자유공원남로(2)
범죄도시3,범죄도시3,movie,57,5,2,2,4,0,송도센트럴파크호텔(5) / 팬시 앤 게임(4) / 김포 아라마리나(2) / 춘천경찰서(2)
사내맞선,사내맞선,drama,44,38,2,2,4,0,자유공원(4) / 카페 산들언덕(3) / 밤가시공원(2) / 스카이베이호텔 경포(2)
지금거신전화는,지금 거신 전화는 / 지금거신전화는,drama,20,68,3,1,4,0,비봉산 전망대(4) / 청기와타운 송도점(3) / 라움아트센터(3) / 삼성해맞이공원(3)
태양의후예,태양의 후예 / 태양의후예,drama,68,22,2,2,4,0,통리탄탄파크(16) / 삼탄아트마인(8) / 송도센트럴파크(3) / 태양의후예공원(태백 오픈세트장)(2)
S라인,S라인,drama,24,28,0,0,3,0,삼산경찰서(1) / 서울공업고등학교(1) / 완성빌라(1)
국제시장,국제시장,movie,75,6,1,2,3,0,국제시장(꽃분이네)(59) / 용두산공원(8) / 천마산 하늘전망대(6)
김비서가왜그럴까,김비서가 왜 그럴까 / 김비서가왜그럴까,drama,57,22,2,1,3,0,지혜의숲(4) / 한탄강 하늘다리(4) / 보정동 카페거리(2)
나쁜엄마,나쁜엄마,drama,41,66,2,3,3,0,한밤마을(14) / 구미여자상업고(2) / 미래농원 MRNW(2)
낭만닥터김사부3,낭만닥터 김사부 3 / 낭만닥터김사부3,drama,56,22,2,1,3,0,돌담병원(46) / 산정호수 둘레길(18) / 문화8구역(재개발지역)(2)
마스크걸,마스크걸,drama,26,55,0,3,3,0,덕수콜택시(2) / 해운대중학교(2) / 호텔토마스 명동(2)
마이데몬,마이 데몬 / 마이데몬,drama,27,64,0,3,3,0,그랜드하얏트 서울(2) / 용인대장금파크(2) / 자작도해수욕장(2)
범죄도시4,범죄도시4,movie,40,4,2,1,3,0,팬시 앤 게임(8) / 한향림도자미술관(3) / 애스턴마틴 서울(2)
부산행,부산행,movie,61,7,1,2,3,0,부전역(3) / 동대구역(2) / 행신역(2)
비밀의숲,비밀의 숲 / 비밀의숲,drama,72,32,0,0,3,0,인하대학교 본관(2) / 5500012카페(1) / 더사보르(1)
서울의봄,서울의 봄,movie,37,8,2,1,3,0,청남대(5) / 조선대학교 본관(3) / 한남대학교 사범대학(2)
시그널,시그널,drama,91,25,3,0,3,0,헌화로(9) / 정동진(7) / 금진항(4)
약한영웅Class2,약한영웅 Class 2,drama,40,9,0,0,3,0,농구장(도봉동)(1) / 강동경희대병원(1) / 대신고 앞 철길 횡단 육교(1)
에스콰이어변호사를꿈꾸는변호사들,에스콰이어: 변호사를 꿈꾸는 변호사들,drama,40,13,2,1,3,0,오렌지플래닛(6) / 아나키아(3) / 달빛애견글램핑(2)
여신강림,여신강림,drama,60,82,2,1,3,0,설리 스카이워크(13) / 왕자만화방(와이앤아니마)(6) / 감고당길(2)
연인,연인,drama,107,19,1,2,3,0,보리나라 학원농장(청보리밭)(4) / 고석정(3) / 무릉계곡(3)
작은아씨들,작은 아씨들 / 작은아씨들,drama,81,31,3,1,3,1,아베크청담(3) / 보칼리노(3) / 바캉스커피(2)
철인왕후,철인왕후,drama,61,10,2,1,3,0,궁남지(39) / 광한루원(16) / 용인대장금파크(5)
태극기휘날리며,태극기 휘날리며,movie,39,9,2,1,3,0,공세리성당(11) / 합천 영상 테마파크(9) / 합천 황매산(3)
택시운전사,택시운전사,movie,72,10,1,2,3,0,청소역 장항선(18) / 성주 버스 정류장(2) / 합천 영상 테마파크(2)
파묘,파묘,movie,43,10,2,1,3,0,국립아시아문화전당(ACC)(10) / 담양 경상리 느티나무(당산나무)(4) / 아홉산숲(2)
7번방의선물,7번방의 선물,movie,33,2,1,1,2,0,익산교도소세트장(19) / 홍제동 개미마을(3)
공조2인터내셔날,공조2: 인터내셔날,movie,17,12,0,0,2,0,세빛섬(1) / 조선팰리스 강남(1)
관상,관상,movie,47,4,1,1,2,0,설매재자연휴양림(7) / 궁남지(4)
괴물,괴물,movie,57,3,0,0,2,0,동작대교(1) / 잠실대교(1)
극한직업,극한직업,movie,54,6,1,1,2,0,배다리헌책방거리(15) / 광양항(4)
뉴토피아,뉴토피아,drama,36,34,3,1,2,2,다소유(3) / 고속터미널역(2)
달의연인보보경심려,달의연인-보보경심 려,drama,13,13,1,1,2,0,월화원(수원 효원공원)(9) / 밀양 위양지(위양못)(2)
마더,마더,drama,45,10,1,1,2,0,오정동 선교사촌(한남대학교 선교사촌)(3) / 삼척항(2)
베테랑2,베테랑2,movie,76,3,0,0,2,0,N서울타워(1) / 춘천대교(1)
수상한그녀,수상한 그녀,movie,41,8,1,1,2,0,청운반점(3) / 금성당(2)
슬기로운감빵생활,슬기로운감빵생활,drama,43,15,2,0,2,0,익산교도소세트장(10) / 빠삐용Zip(옛 장흥교도소)(5)
슬기로운의사생활,슬기로운 의사생활 / 슬기로운의사생활,drama,38,16,1,1,2,0,이대서울병원(16) / 수노래방(2)
써니,써니,movie,66,5,2,0,2,0,제물포 시장(4) / 합천 영상 테마파크(3)
아이돌아이,아이돌아이,drama,39,76,0,0,2,0,광한루원(1) / 조이마당스튜디오(1)
암살,암살,movie,62,8,2,0,2,0,백인제 가옥(19) / 합천 영상 테마파크(7)
오징어게임3,오징어게임3,drama,34,9,2,0,2,0,서울랜드(4) / 카프리모텔(3)
친구,친구,movie,85,8,0,0,2,0,대변항(1) / 영도대교(1)
킬러들의쇼핑몰,킬러들의 쇼핑몰 / 킬러들의쇼핑몰,drama,34,17,0,2,2,0,섬강 수변공원(2) / 양평버스터미널(2)
힐러,힐러,drama,51,21,2,0,2,0,수암골 벽화마을(3) / 운보의 집(3)
힘쎈여자도봉순,힘쎈여자도봉순,drama,34,27,1,1,2,0,낙산공원(3) / 보라매공원(2)
1987,1987,movie,30,8,1,0,1,0,연희네 슈퍼(20)
공조,공조,movie,26,6,0,0,1,0,낙산공원(1)
광장,광장,drama,60,35,1,0,1,0,성모의원(3)
국가대표,국가대표,movie,78,2,1,0,1,0,알펜시아 스키점프센터(4)
나빌레라,나빌레라,drama,64,24,1,0,1,0,비맨션(10)
내부자들,내부자들,movie,58,6,0,1,1,0,아소산 일산본점(2)
당신이잠든사이에,당신이 잠든 사이에 / 당신이잠든사이에,drama,38,44,0,1,1,0,자도르 본점(2)
도둑들,도둑들,movie,35,4,0,0,1,0,부산데파트(1)
럭키,럭키,movie,24,9,0,1,1,0,전곡항(2)
마스터,마스터,movie,42,8,0,0,1,0,청심평화월드센터(1)
모범택시,모범택시,drama,49,15,0,1,1,0,쌍용반점(2)
모범택시1,모범택시1,drama,37,12,1,0,1,0,문화교통(4)
밀정,밀정,movie,45,2,1,0,1,0,합천영상테마파크(16)
범죄도시2,범죄도시2,movie,53,8,0,1,1,0,월곡마트(2)
베테랑,베테랑,movie,81,3,1,0,1,0,아난티 클럽 서울(3)
변호인,변호인,movie,38,7,1,0,1,0,흰여울문화마을(29)
사냥개들2,사냥개들2,drama,27,65,1,1,1,1,군산체육관(3)
스위트홈2,스위트홈 2 / 스위트홈2,drama,40,10,0,0,1,0,더현대서울(1)
신과함께죄와벌,신과함께-죄와 벌,movie,25,5,0,0,1,0,기장소방서(1)
실미도,실미도,movie,101,1,1,0,1,0,실미도(71)
악의꽃,악의꽃,drama,69,25,0,0,1,0,자하슈퍼(은하수슈퍼)(1)
언젠가는슬기로울전공의생활,언젠가는 슬기로울 전공의생활,drama,35,32,1,0,1,0,용인세브란스병원(6)
역도요정김복주,역도요정 김복주 / 역도요정김복주,drama,38,32,1,0,1,0,인하대학교(5)
왕의남자,왕의 남자,movie,62,5,1,0,1,0,부안영상테마파크(4)
인천상륙작전,인천상륙작전,movie,45,6,1,0,1,0,합천영상테마파크(3)
지금우리학교는,지금 우리 학교는 / 지금우리학교는,drama,44,9,1,0,1,0,성희여자고등학교(15)
지옥,지옥,drama,76,12,0,1,1,0,한국지역정보개발원(2)
초콜릿,초콜릿,drama,71,16,0,1,1,0,대천해수욕장(2)
최종병기활,최종병기 활,movie,40,3,1,0,1,0,공기마을 편백나무숲(4)
터널,터널,movie,93,2,0,1,1,0,옥천터널(폐터널)(2)
피노키오,피노키오,drama,27,41,0,0,1,0,청산도 서편제길(1)
한산용의출현,한산: 용의 출현,movie,51,4,0,0,1,0,흥국사(1)
해적바다로간산적,해적: 바다로 간 산적,movie,31,3,0,1,1,0,남양주종합촬영소(2)
해피니스,해피니스,drama,49,1,1,0,1,0,e편한세상 옥정 더 퍼스트(7)
D.P.,D.P.,drama,50,5,0,0,0,0,
검사외전,검사외전,movie,26,5,0,0,0,0,
마우스,마우스,drama,41,11,0,0,0,0,
무브투헤븐,무브투헤븐,drama,42,11,0,0,0,0,
백두산,백두산,movie,74,1,0,0,0,0,
베를린,베를린,movie,64,1,0,0,0,0,
설국열차,설국열차,movie,45,2,0,0,0,0,
신과함께인과연,신과함께-인과 연,movie,33,9,0,0,0,0,
엑시트,엑시트,movie,37,1,0,0,0,0,
히말라야,히말라야,movie,54,1,0,0,0,0,
