title_key,title_표기,category,후보_장소명,정규화,언급_글수,촬영단서_글수,제목등장_글수,저자수,corpus_글수
21세기대군부인,21세기대군부인,drama,오성한옥마을,오성한옥마을,8,5,2,6,35
더글로리,더글로리,drama,아들바위공원,아들바위공원,6,5,2,6,51
오징어게임,오징어게임,drama,탑골공원,탑골공원,6,5,2,6,70
슈룹,슈룹,drama,문경새재도립공원,문경새재도립공원,5,5,2,5,51
스프링피버,스프링피버,drama,촬영지역,촬영지역,5,5,2,5,41
약한영웅Class2,약한영웅 Class 2,drama,대전대신고등학교,대전대신고등학교,6,5,1,5,40
오징어게임3,오징어게임3,drama,탑골공원,탑골공원,5,5,1,5,34
이태원클라쓰,이태원클라쓰,drama,성곽길,성곽길,6,5,3,5,90
중증외상센터,중증외상센터,drama,촬영병원,촬영병원,5,5,3,5,53
중증외상센터,중증외상센터,drama,한국대병원,한국대병원,5,5,1,5,53
태양의후예,태양의후예,drama,시계탑,시계탑,5,5,1,5,68
갯마을차차차,갯마을 차차차,drama,경상북도수목원,경상북도수목원,5,5,1,3,88
북극성,북극성,drama,명동성당,명동성당,6,5,1,3,48
백두산,백두산,movie,장백폭포,장백폭포,16,4,1,16,74
부산행,부산행,movie,부산역,부산역,16,4,1,16,61
해운대,해운대,movie,부산역,부산역,16,4,1,16,107
실미도,실미도,movie,실미유원지,실미유원지,16,4,4,14,101
실미도,실미도,movie,둘레길,둘레길,9,4,1,9,101
기생충,기생충,movie,서울미술관,서울미술관,9,4,1,8,70
빈센조,빈센조,drama,수주팔봉출렁다리,수주팔봉출렁다리,8,4,6,8,68
해운대,해운대,movie,광안리해수욕장,광안리해수욕장,8,4,1,8,107
낭만닥터김사부3,낭만닥터김사부3,drama,놀이공원,놀이공원,7,4,1,7,56
동궁,동궁,drama,돌담길,돌담길,7,4,2,7,55
미스터션샤인,미스터 션샤인,drama,논산선샤인랜드,논산선샤인랜드,7,4,3,7,77
사랑의불시착,사랑의불시착,drama,비내길,비내길,7,4,1,7,80
눈물의여왕,눈물의여왕,drama,일월저수지,일월저수지,6,4,1,6,105
빈센조,빈센조,drama,무지개길,무지개길,6,4,3,6,68
사랑의불시착,사랑의불시착,drama,브리엔츠호수,브리엔츠호수,6,4,4,6,80
웰컴투삼달리,웰컴투삼달리,drama,산책길,산책길,6,4,1,6,56
이태원클라쓰,이태원클라쓰,drama,서울역,서울역,6,4,1,6,90
철인왕후,철인왕후,drama,부여궁,부여궁,6,4,1,6,61
철인왕후,철인왕후,drama,부소산성,부소산성,6,4,1,6,61
태풍상사,태풍상사,drama,부남해수욕장,부남해수욕장,6,4,1,6,60
호텔델루나,호텔델루나,drama,목포카페,목포카페,6,4,2,6,92
나의아저씨,나의아저씨,drama,서울역,서울역,5,4,1,5,63
럭키,럭키,movie,오조포구,오조포구,5,4,4,5,24
마이네임,마이네임,drama,부산해동용궁,부산해동용궁,5,4,3,5,81
친구,친구,movie,롯데리조트,롯데리조트,5,4,2,5,85
킹덤,킹덤,drama,문경새재도립공원,문경새재도립공원,5,4,1,5,35
폭싹속았수다,폭싹 속았수다,drama,부상길,부상길,5,4,1,5,79
괴물,괴물,movie,한강공원,한강공원,4,4,2,4,57
낭만닥터김사부3,낭만닥터김사부3,drama,포천산정호수,포천산정호수,4,4,3,4,56
더글로리,더글로리,drama,소돌해변,소돌해변,4,4,2,4,51
명량,명량,movie,완도청해포구,완도청해포구,4,4,3,4,53
모범택시1,모범택시1,drama,둔장해변,둔장해변,4,4,2,4,37
미스터션샤인,미스터 션샤인,drama,션샤인스튜디오,션샤인스튜디오,4,4,3,4,77
실미도,실미도,movie,성지순례길,성지순례길,4,4,2,4,101
엄마친구아들,엄마친구아들,drama,북촌한옥마을,북촌한옥마을,4,4,2,4,61
오징어게임2,오징어게임2,drama,놀이공원,놀이공원,5,4,1,4,52
이태원클라쓰,이태원클라쓰,drama,남산공원,남산공원,5,4,2,4,90
조립식가족,조립식가족,drama,달달카페,달달카페,5,4,3,4,64
킹덤,킹덤,drama,도립공원,도립공원,4,4,1,4,35
태풍상사,태풍상사,drama,감성카페,감성카페,4,4,1,4,60
수상한그녀,수상한 그녀,movie,용마랜드,용마랜드,4,4,1,3,41
여신강림,여신강림,drama,계동길,계동길,4,4,1,3,60
응답하라1988,응답하라1988,drama,쌍문여자고등학교,쌍문여자고등학교,4,4,1,3,77
이상한변호사우영우,이상한변호사우영우,drama,행리단길,행리단길,4,4,2,3,77
지옥에서온판사,지옥에서 온 판사,drama,골목길,골목길,5,4,2,3,56
이상한변호사우영우,이상한변호사우영우,drama,수산공원,수산공원,10,3,9,10,77
스물다섯스물하나,스물다섯스물하나,drama,자만벽화마을,자만벽화마을,8,3,1,8,106
철인왕후,철인왕후,drama,서동공원,서동공원,8,3,2,8,61
기생충,기생충,movie,경복궁,경복궁,6,3,1,6,70
더글로리,더글로리,drama,메타45카페,메타45카페,6,3,4,6,51
범죄도시2,범죄도시2,movie,용리단길,용리단길,6,3,6,6,53
왕의남자,왕의 남자,movie,문경새재도립공원,문경새재도립공원,6,3,1,6,62
광해왕이된남자,"광해, 왕이 된 남자",movie,문경새재도립공원,문경새재도립공원,5,3,1,5,70
나의아저씨,나의아저씨,drama,용산공원,용산공원,5,3,1,5,63
다이루어질지니,다이루어질지니,drama,미래박물관,미래박물관,7,3,1,5,63
마이네임,마이네임,drama,태안카페,태안카페,5,3,2,5,81
마이데몬,마이데몬,drama,낙산공원,낙산공원,5,3,2,5,27
사이코지만괜찮아,사이코지만괜찮아,drama,원주카페,원주카페,5,3,2,5,49
사이코지만괜찮아,사이코지만괜찮아,drama,아야진해수욕장,아야진해수욕장,5,3,3,5,49
국가대표,국가대표,movie,순례길,순례길,4,3,1,4,78
기생충,기생충,movie,계단길,계단길,4,3,1,4,70
눈물의여왕,눈물의여왕,drama,킹더랜드,킹더랜드,4,3,1,4,105
도깨비,도깨비,drama,향호해변,향호해변,4,3,1,4,61
도깨비,도깨비,drama,강릉카페,강릉카페,4,3,3,4,61
무빙,무빙,drama,만송동카페,만송동카페,4,3,3,4,72
베테랑,베테랑,movie,순례길,순례길,4,3,1,4,81
빈센조,빈센조,drama,중앙탑공원,중앙탑공원,4,3,2,4,68
서울의봄,서울의 봄,movie,순례길,순례길,4,3,1,4,37
선재업고튀어,선재업고튀어,drama,수원행궁동카페,수원행궁동카페,4,3,2,4,101
수상한그녀,수상한 그녀,movie,중계근린공원,중계근린공원,4,3,1,4,41
시그널,시그널,drama,오츠카미술관,오츠카미술관,4,3,1,4,91
실미도,실미도,movie,모세길,모세길,4,3,2,4,101
아파트,아파트,drama,해변공원,해변공원,4,3,1,4,90
언더커버미쓰홍,언더커버미쓰홍,drama,등촌역,등촌역,4,3,1,4,29
여신강림,여신강림,drama,윤보선길,윤보선길,4,3,1,4,60
월간남친,월간남친,drama,서울역,서울역,4,3,2,4,37
유미의세포들3,유미의세포들3,drama,호수공원,호수공원,4,3,1,4,51
이태원클라쓰,이태원클라쓰,drama,남산공원백범광장,남산공원백범광장,4,3,1,4,90
지옥,지옥,drama,골목길,골목길,4,3,1,4,76
태풍상사,태풍상사,drama,인천카페,인천카페,4,3,1,4,60
트웰브,트웰브,drama,레이어스튜디오,레이어스튜디오,4,3,1,4,36
호텔델루나,호텔델루나,drama,익선동카페,익선동카페,4,3,3,4,92
갯마을차차차,갯마을 차차차,drama,기념공원,기념공원,3,3,2,3,88
국가대표,국가대표,movie,청주카페,청주카페,3,3,1,3,78
국제시장,국제시장,movie,순례길,순례길,3,3,1,3,75
김부장,김부장,drama,한옥카페,한옥카페,3,3,1,3,55
나빌레라,나빌레라,drama,기찻길,기찻길,3,3,1,3,64
눈물의여왕,눈물의여왕,drama,대구더현대카페,대구더현대카페,3,3,2,3,105
도둑들,도둑들,movie,응아팀카페,응아팀카페,3,3,3,3,35
러브미,러브미,drama,시온여성병원,시온여성병원,3,3,1,3,41
마우스,마우스,drama,골목길,골목길,4,3,1,3,41
명량,명량,movie,이순신대교,이순신대교,4,3,2,3,53
명량,명량,movie,기념공원,기념공원,3,3,2,3,53
미스터션샤인,미스터 션샤인,drama,논산선샤인스튜디오,논산선샤인스튜디오,3,3,1,3,77
사랑의불시착,사랑의불시착,drama,대포항,대포항,3,3,2,3,80
서울의봄,서울의 봄,movie,성지순례길,성지순례길,3,3,2,3,37
서울의봄,서울의 봄,movie,서울대교,서울대교,3,3,1,3,37
선재업고튀어,선재업고튀어,drama,수원행리단길,수원행리단길,3,3,1,3,101
선재업고튀어,선재업고튀어,drama,아야진해변,아야진해변,3,3,1,3,101
약한영웅Class2,약한영웅 Class 2,drama,대신고등학교,대신고등학교,3,3,1,3,40
언젠가는슬기로울전공의생활,언젠가는 슬기로울 전공의생활,drama,종로율제병원,종로율제병원,3,3,2,3,35
엄마친구아들,엄마친구아들,drama,골목길,골목길,3,3,1,3,61
연인,연인,drama,영진해변,영진해변,3,3,1,3,107
오징어게임,오징어게임,drama,대룡시장,대룡시장,3,3,1,3,70
웰컴투삼달리,웰컴투삼달리,drama,제주오조포구,제주오조포구,3,3,1,3,56
응답하라1988,응답하라1988,drama,한옥카페,한옥카페,3,3,3,3,77
이상한변호사우영우,이상한변호사우영우,drama,실미도유원지,실미도유원지,3,3,3,3,77
태풍상사,태풍상사,drama,대형카페,대형카페,3,3,1,3,60
해적바다로간산적,해적: 바다로 간 산적,movie,청해포구,청해포구,3,3,1,3,31
