id,title,place_name,old_scene_description,new_scene_description,action,evidence_url_1,evidence_url_2,source_quality
st_02498,길복순,문화역서울284,,복순을 비롯한 킬러들이 드나드는 살인청부회사 MK Ent.의 로비 장면.,filled,https://v.daum.net/v/20230406050039710,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=341651,C+B
st_02499,길복순,한국은행 화폐박물관,,복순이 소속된 살인청부회사 MK Ent. 본사 건물의 외관 장면.,filled,https://v.daum.net/v/20230406050039710,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=341651,C+B
st_02500,길복순,잠수교,,복순이 잠수교가 있는 반포한강공원 일대를 차로 달리는 장면.,filled,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=341651,https://kdramamap.com/location/%ea%b8%b8%eb%b3%b5%ec%88%9c-%ec%9e%a0%ec%88%98%ea%b5%90-3184/,B+D
st_02501,길복순,이마트 트레디어스 킨텍스점,,일을 마친 복순이 평범한 엄마의 일상으로 돌아가 대형마트에서 장을 보는 장면.,filled,https://murton-09.hatenablog.com/entry/2023/04/03/131856,https://kdramamap.com/location/%ea%b8%b8%eb%b3%b5%ec%88%9c-%ec%9d%b4%eb%a7%88%ed%8a%b8-%ed%8a%b8%eb%a0%88%eb%94%94%ec%96%b4%ec%8a%a4-%ed%82%a8%ed%85%8d%ec%8a%a4%ec%a0%90-3185/,D+D
st_02503,길복순,오르비제빌리지,,복순과 딸 재영이 함께 사는 고급 주택의 외관 장면.,filled,https://murton-09.hatenablog.com/entry/2023/04/03/131856,https://kdramamap.com/location/%ea%b8%b8%eb%b3%b5%ec%88%9c-%ec%98%a4%eb%a5%b4%eb%b9%84%ec%a0%9c%eb%b9%8c%eb%a6%ac%ec%a7%80-3187/,D+D
st_02504,길복순,파주운정건강공원,,재영이 스케이트파크에서 소라와 입을 맞추는 장면.,filled,https://murton-09.hatenablog.com/entry/2023/04/03/131856,https://kdramamap.com/location/%ea%b8%b8%eb%b3%b5%ec%88%9c-%ed%8c%8c%ec%a3%bc%ec%9a%b4%ec%a0%95%ea%b1%b4%ea%b0%95%ea%b3%b5%ec%9b%90-3188/,D+D
st_02505,길복순,오랑주리,,복순이 재영의 학교 학부모들과 카페에 모여 이야기를 나누는 장면.,filled,https://murton-09.hatenablog.com/entry/2023/04/03/131856,https://kdramamap.com/location/%ea%b8%b8%eb%b3%b5%ec%88%9c-%ec%98%a4%eb%9e%91%ec%a3%bc%eb%a6%ac-3189/,D+D
st_02506,길복순,부천아트벙커 B39,,MK Ent.의 예비 킬러들이 생존 경쟁을 벌이며 훈련하는 장면.,filled,https://v.daum.net/v/20230406050039710,https://artbunkerb39.org/ko/sub/sub10.html,C+B
st_02508,길복순,강촌레일파크,,과거의 복순과 차민규가 어두운 철길 터널에서 처음으로 맞붙는 장면.,filled,https://v.daum.net/v/20230406050039710,https://kdramamap.com/location/%ea%b8%b8%eb%b3%b5%ec%88%9c-%ea%b0%95%ec%b4%8c%eb%a0%88%ec%9d%bc%ed%8c%8c%ed%81%ac-3192/,C+D
st_02510,길복순,대전 외국인학교,,복순의 딸 재영이 다니는 사립학교의 외관 장면.,filled,https://murton-09.hatenablog.com/entry/2023/04/03/131856,https://kdramamap.com/location/%ea%b8%b8%eb%b3%b5%ec%88%9c-%eb%8c%80%ec%a0%84-%ec%99%b8%ea%b5%ad%ec%9d%b8%ed%95%99%ea%b5%90-3194/,D+D
st_08323,뷰티인사이드(영화),카페발로,,가구점 직원 이수가 손님으로 찾아온 우진을 처음 만나 대화를 나누는 장면.,filled,https://www.incheon.go.kr/goodmorning/GOOD020102/view?curPage=&nttNo=1924908&srchCategoryCode=&srchKey=&srchPblicteIssnoCode=&srchWord=,https://kdramamap.com/location/%eb%b7%b0%ed%8b%b0%ec%9d%b8%ec%82%ac%ec%9d%b4%eb%93%9c-%ec%b9%b4%ed%8e%98%eb%b0%9c%eb%a1%9c-1662/,B+D
st_14430,유열의음악앨범,강북경찰서,,1990년대 경찰서 공간이 등장하는 장면.,filled,https://smartsmpa.tistory.com/8194,https://kdramamap.com/location/%ec%9c%a0%ec%97%b4%ec%9d%98%ec%9d%8c%ec%95%85%ec%95%a8%eb%b2%94-%ea%b0%95%eb%b6%81%ea%b2%bd%ec%b0%b0%ec%84%9c-2057/,B+D
st_14431,유열의음악앨범,교보문고,,미수가 기획한 책이 판매 6위에 오른 것을 종우가 축하하며 하이파이브를 요구하는 장면.,filled,https://weekly.khan.co.kr/article/201908231602111,https://kdramamap.com/location/%ec%9c%a0%ec%97%b4%ec%9d%98%ec%9d%8c%ec%95%85%ec%95%a8%eb%b2%94-%ea%b5%90%eb%b3%b4%eb%ac%b8%ea%b3%a0-2058/,C+D
st_14433,유열의음악앨범,KBS본관,,"라디오에서 자신의 이름을 들은 미수가 방송국으로 달려와, 스튜디오 부스 밖의 현우와 마주 보며 웃는 마지막 장면.",filled,https://mimilife87.tistory.com/entry/%EC%84%9C%EB%A1%9C%EC%9D%98-%EC%A3%BC%ED%8C%8C%EC%88%98%EB%A5%BC-%EB%A7%9E%EC%B6%9C-%EC%88%98-%EC%9E%88%EC%9D%84%EA%B9%8C-%EC%98%81%ED%99%94-%EC%9C%A0%EC%97%B4%EC%9D%98-%EC%9D%8C%EC%95%85%EC%95%A8%EB%B2%94,https://kdramamap.com/location/%ec%9c%a0%ec%97%b4%ec%9d%98%ec%9d%8c%ec%95%85%ec%95%a8%eb%b2%94-kbs%eb%b3%b8%ea%b4%80-2060/,D+D
st_14434,유열의음악앨범,중앙고앞,,현우가 미수를 태운 종우의 차를 따라 달리며 중앙고 앞 계동길을 지나는 장면.,filled,https://photohistory.tistory.com/18820,https://kdramamap.com/location/%ec%9c%a0%ec%97%b4%ec%9d%98%ec%9d%8c%ec%95%85%ec%95%a8%eb%b2%94-%ec%a4%91%ec%95%99%ea%b3%a0%ec%95%9e-2061/,D+D
st_14435,유열의음악앨범,김영사,,"현우가 미수의 출판사 대표 종우에게 싫다고 말한 뒤, 미수를 태우고 떠나는 그의 차를 쫓기 시작하는 장면.",filled,https://photohistory.tistory.com/18820,https://kdramamap.com/location/%ec%9c%a0%ec%97%b4%ec%9d%98%ec%9d%8c%ec%95%85%ec%95%a8%eb%b2%94-%ea%b9%80%ec%98%81%ec%82%ac-2062/,D+D
st_14437,유열의음악앨범,경추문쪽,,"차에서 내린 미수에게 현우가 사랑한다고 말하고, 미수가 그에게 이제 그만 뛰라고 하며 헤어지는 장면.",filled,https://photohistory.tistory.com/18820,https://kdramamap.com/location/%ec%9c%a0%ec%97%b4%ec%9d%98%ec%9d%8c%ec%95%85%ec%95%a8%eb%b2%94-%ea%b2%bd%ec%b6%94%eb%ac%b8%ec%aa%bd-2064/,D+D
st_14439,유열의음악앨범,빵집,,미수의 빵집에 갓 출소한 현우가 찾아와 처음 만나고 함께 일하게 되는 장면.,filled,https://www.koreanfilm.or.kr/eng/films/index/filmsView.jsp?movieCd=20181416,https://about.netflix.com/en/news/netflix-to-bring-korean-retro-romance-film-tune-in-for-love,A+B
st_17132,청년경찰,전농 4치안센터,,괴한들에게 쫓기던 기준과 희열이 도움을 청하려 치안센터로 달아가는 장면.,filled,https://smartsmpa.tistory.com/8194,https://kdramamap.com/location/%ec%b2%ad%eb%85%84%ea%b2%bd%ec%b0%b0-%ec%a0%84%eb%86%8d4%ec%b9%98%ec%95%88%ec%84%bc%ed%84%b0-2184/,B+D
st_17135,청년경찰,대림동 차이나타운,,기준과 희열이 사건을 쫓아 대림동 차이나타운 일대를 달리는 추격 장면.,filled,https://news.nate.com/view/20170904n38123,https://kdramamap.com/location/%ec%b2%ad%eb%85%84%ea%b2%bd%ec%b0%b0-%eb%8c%80%eb%a6%bc%eb%8f%99-%ec%b0%a8%ec%9d%b4%eb%82%98%ed%83%80%ec%9a%b4-2187/,C+D
st_17287,추격자,만물슈퍼(개미슈퍼),,"영민의 집에서 탈출한 미진이 슈퍼에 들어가 도움을 청하지만, 뒤따라온 영민에게 발견되는 장면.",filled,https://www.seoulfc.or.kr/data/briefing/21.pdf,https://www.koreanfilm.or.kr/eng/news/location.jsp?blbdComCd=601020&mode=VIEW&pageIndex=1&pageRowSize=5&seq=29,A+A
st_17288,추격자,혜화동혜성교회,,중호가 영민의 방에서 본 예수상 단서를 따라 교회를 찾아가 범인의 집 위치를 추적하는 장면.,filled,https://www.seoulfc.or.kr/data/briefing/21.pdf,https://ncms.nculture.org/story-of-our-hometown/tag/byid/63754,A+B
