priority_rank,title,place_rows,audience_acc,award,source_url,audience_numeric,has_award,priority_tier,codex_status,codex_notes
45,나는 곤경에 처했다!,0,,부산국제영화제 뉴커런츠상(2009),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20090841,-1,True,A,pending,
46,돼지의 왕,0,,부산국제영화제 넷팩상(2011),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20111031,-1,True,A,pending,
47,로드무비,0,,부산국제영화제 넷팩상(2002),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20020248,-1,True,A,pending,
48,무산일기,0,,부산국제영화제 뉴커런츠상(2010),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20101242,-1,True,A,pending,
49,봄 여름 가을 겨울 그리고 봄,0,,대종상 최우수작품상(2004);청룡영화상 최우수작품상(2003),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20030125,-1,True,A,pending,
50,아들의 여자,0,,부산국제영화제 선재상(2008),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20185426,-1,True,A,pending,
51,죄 많은 소녀,0,,부산국제영화제 뉴커런츠상(2017),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20173734,-1,True,A,pending,
52,질투는 나의 힘,0,,부산국제영화제 뉴커런츠상(2002),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20020048,-1,True,A,pending,
53,철원기행,0,,부산국제영화제 뉴커런츠상(2014),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20141589,-1,True,A,pending,
54,취화선,0,,청룡영화상 최우수작품상(2002);칸영화제 감독상(2002),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20020053,-1,True,A,pending,
55,파수꾼,0,,부산국제영화제 뉴커런츠상(2010),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20101344,-1,True,A,pending,
56,파스카,0,,부산국제영화제 뉴커런츠상(2013),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20132801,-1,True,A,pending,
57,허수아비들의 땅,0,,부산국제영화제 뉴커런츠상(2008),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20081731,-1,True,A,pending,
58,호흡,0,,부산국제영화제 뉴커런츠상(2018),https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20181087,-1,True,A,pending,
59,엑시트,0,9407840,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20184621,9407840,False,B,pending,
60,관상,0,9121108,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20126091,9121108,False,B,pending,
61,수상한 그녀,0,8642334,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20131102,8642334,False,B,pending,
62,해적: 바다로 간 산적,0,8625574,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20136064,8625574,False,B,pending,
63,백두산,0,8242478,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20192206,8242478,False,B,pending,
64,과속스캔들,0,8199215,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20081672,8199215,False,B,pending,
65,친구,0,8180000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010040,8180000,False,B,pending,
66,국가대표,0,8002297,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20090307,8002297,False,B,pending,
67,디워,0,7854274,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20070316,7854274,False,B,pending,
68,히말라야,0,7725579,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20136068,7725579,False,B,pending,
69,베테랑2,0,7519841,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20239670,7519841,False,B,pending,
70,최종병기 활,0,7463056,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20110302,7463056,False,B,pending,
71,밀정,0,7458824,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20159646,7458824,False,B,pending,
72,한산: 용의 출현,0,7250017,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20209343,7250017,False,B,pending,
73,베를린,0,7146760,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124083,7146760,False,B,pending,
74,마스터,0,7133595,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20161725,7133595,False,B,pending,
75,터널,0,7076050,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20154910,7076050,False,B,pending,
76,인천상륙작전,0,7033357,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20156250,7033357,False,B,pending,
77,공조2: 인터내셔날,0,6974139,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20215601,6974139,False,B,pending,
78,범죄도시,0,6861910,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20172742,6861910,False,B,pending,
79,화려한 휴가,0,6845718,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20070209,6845718,False,B,pending,
80,"좋은 놈, 나쁜 놈, 이상한 놈",0,6676132,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20072152,6676132,False,B,pending,
81,늑대소년,0,6627275,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124054,6627275,False,B,pending,
82,웰컴 투 동막골,0,6413223,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20050180,6413223,False,B,pending,
83,사도,0,6229050,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20148846,6229050,False,B,pending,
84,연평해전,0,6036988,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20134798,6036988,False,B,pending,
85,전우치,0,6022722,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20090077,6022722,False,B,pending,
86,미녀는 괴로워,0,6018121,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20060387,6018121,False,B,pending,
87,좀비딸,0,5611484,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20241941,5611484,False,B,pending,
88,숨바꼭질,0,5581942,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20136049,5581942,False,B,pending,
89,더 테러 라이브,0,5580701,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20136052,5580701,False,B,pending,
90,타짜,0,5577385,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20060277,5577385,False,B,pending,
91,감시자들,0,5500389,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20122783,5500389,False,B,pending,
92,안시성,0,5413370,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20176122,5413370,False,B,pending,
93,완벽한 타인,0,5270621,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20177538,5270621,False,B,pending,
94,조폭마누라,0,5250000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010014,5250000,False,B,pending,
95,가문의 영광,0,5200000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20020245,5200000,False,B,pending,
96,타워,0,5142969,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124039,5142969,False,B,pending,
97,독전,0,5053105,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20179383,5053105,False,B,pending,
98,투사부일체,0,4997745,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20050363,4997745,False,C,pending,
99,공작,0,4968325,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20179101,4968325,False,C,pending,
100,동갑내기 과외하기,0,4930000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20030004,4930000,False,C,pending,
101,바람과 함께 사라지다,0,4898495,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124067,4898495,False,C,pending,
102,하얼빈,0,4896225,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20228796,4896225,False,C,pending,
103,엽기적인 그녀,0,4870000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010020,4870000,False,C,pending,
104,봉오동 전투,0,4767092,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20184462,4767092,False,C,pending,
105,조선명탐정 : 각시투구꽃의 비밀,0,4766907,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20102414,4766907,False,C,pending,
106,"님아, 그 강을 건너지 마오",0,4746458,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20141111,4746458,False,C,pending,
107,군도: 민란의 시대,0,4741281,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20123501,4741281,False,C,pending,
108,범죄와의 전쟁: 나쁜놈들 전성시대,0,4682529,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20113557,4682529,False,C,pending,
109,신세계,0,4670388,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124401,4670388,False,C,pending,
110,파일럿,0,4670062,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20224666,4670062,False,C,pending,
111,도가니,0,4636595,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20112534,4636595,False,C,pending,
112,내 아내의 모든 것,0,4578886,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20113554,4578886,False,C,pending,
113,나쁜 녀석들: 더 무비,0,4556691,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20188750,4556691,False,C,pending,
114,노량: 죽음의 바다,0,4550731,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20203702,4550731,False,C,pending,
115,판도라,0,4545686,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20144641,4545686,False,C,pending,
116,가문의 위기,0,4508292,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20050219,4508292,False,C,pending,
117,연가시,0,4499856,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124062,4499856,False,C,pending,
118,강철비,0,4436231,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20170402,4436231,False,C,pending,
119,다만 악에서 구하소서,0,4350493,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20197922,4350493,False,C,pending,
120,신라의 달밤,0,4350000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010027,4350000,False,C,pending,
121,헌트,0,4344403,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20211792,4344403,False,C,pending,
122,강철중: 공공의 적 1-1,0,4310578,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20080736,4310578,False,C,pending,
123,용의자,0,4127745,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124938,4127745,False,C,pending,
124,색즉시공,0,4080000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20020236,4080000,False,C,pending,
125,댄싱퀸,0,4048125,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20113743,4048125,False,C,pending,
126,타짜-신의 손,0,4011788,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20134804,4011788,False,C,pending,
127,7급 공무원,0,4002500,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20081737,4002500,False,C,pending,
128,꾼,0,3992574,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20165748,3992574,False,C,pending,
129,박수건달,0,3884350,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124935,3884350,False,C,pending,
130,소방관,0,3840551,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20200142,3840551,False,C,pending,
131,역린,0,3839411,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20139183,3839411,False,C,pending,
132,조선명탐정 : 사라진 놉의 딸,0,3832898,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20149570,3832898,False,C,pending,
133,반도,0,3810397,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20193450,3810397,False,C,pending,
134,암수살인,0,3777611,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20179189,3777611,False,C,pending,
135,달마야 놀자,0,3760000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010010,3760000,False,C,pending,
136,국가부도의 날,0,3723913,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20177552,3723913,False,C,pending,
137,신기전,0,3710813,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20081001,3710813,False,C,pending,
138,82년생 김지영,0,3665813,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20191029,3665813,False,C,pending,
139,쌍화점,0,3645900,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20081716,3645900,False,C,pending,
140,호프,0,3619235,,https://www.moviechart.co.kr/rank/boxoffice,3619235,False,C,pending,
141,귀향,0,3571853,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20161364,3571853,False,C,pending,
142,신의 한 수,0,3563970,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20139201,3563970,False,C,pending,
143,스캔들-조선남녀상열지사,0,3520000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20030127,3520000,False,C,pending,
144,두사부일체,0,3500000,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20010052,3500000,False,C,pending,
145,태풍,0,3456331,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20050326,3456331,False,C,pending,
146,끝까지 간다,0,3442630,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20130442,3442630,False,C,pending,
147,부러진 화살,0,3436171,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20113535,3436171,False,C,pending,
148,스파이,0,3405822,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20124086,3405822,False,C,pending,
149,돈,0,3388756,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20176103,3388756,False,C,pending,
150,야당,0,3368648,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20232394,3368648,False,C,pending,
151,그것만이 내 세상,0,3368262,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20176104,3368262,False,C,pending,
152,악인전,0,3346654,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20188941,3346654,False,C,pending,
153,이끼,0,3335242,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20100209,3335242,False,C,pending,
154,올빼미,0,3317511,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20227762,3317511,False,C,pending,
155,시동,0,3308844,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20198414,3308844,False,C,pending,
156,포화속으로,0,3307797,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20100296,3307797,False,C,pending,
157,한반도,0,3296716,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20060147,3296716,False,C,pending,
