qid,official_en,alias,type,lat,lon,wikidata_url
Q42082,Gimhae,Kimhae,big city,35.234166666,128.881111111,http://www.wikidata.org/entity/Q42082
Q16520,Busan,Busan Metropolitan City,city,35.18,129.075,http://www.wikidata.org/entity/Q16520
Q16520,Busan,Fuzan,city,35.18,129.075,http://www.wikidata.org/entity/Q16520
Q16520,Busan,Pusan Metropolitan City,city,35.18,129.075,http://www.wikidata.org/entity/Q16520
Q16520,Busan,Pusang,city,35.18,129.075,http://www.wikidata.org/entity/Q16520
Q50408,Seodaemun District,Seodaemun-gu,district of Seoul,37.579217,126.936666,http://www.wikidata.org/entity/Q50408
Q50409,Seobuk District,Seobuk district,district of South Korea (non-autonomous),36.8784,127.155194,http://www.wikidata.org/entity/Q50409
Q50409,Seobuk District,Seobuk-gu,district of South Korea (non-autonomous),36.8784,127.155194,http://www.wikidata.org/entity/Q50409
Q50411,Seongdong District,Seongdong-gu,district of Seoul,37.563375,127.037033,http://www.wikidata.org/entity/Q50411
Q50412,Seongbuk District,Seongbuk-gu,district of Seoul,37.589181,127.018206,http://www.wikidata.org/entity/Q50412
Q50415,Songpa District,Songpa-gu,district of Seoul,37.514166666,127.106666666,http://www.wikidata.org/entity/Q50415
Q50416,Suseong District,Suseong-gu,district of South Korea  (autonomous),35.85905,128.62625,http://www.wikidata.org/entity/Q50416
Q20398,Gangnam District,Gangnam-gu,district of Seoul,37.496666666,127.0275,http://www.wikidata.org/entity/Q20398
Q20714,Suwon,Suwon-si,big city,37.285833333,127.01,http://www.wikidata.org/entity/Q20714
Q50429,Yongsan District,"Yongsan Trade Center, Districtul Yongsan, Seul",district of Seoul,37.538333333,126.965555555,http://www.wikidata.org/entity/Q50429
Q50429,Yongsan District,Yongsan-gu,district of Seoul,37.538333333,126.965555555,http://www.wikidata.org/entity/Q50429
Q50247,Buyeo County,Puyŏ,county of South Korea,36.26257,126.85802,http://www.wikidata.org/entity/Q50247
Q50247,Buyeo County,Puyŏ-gun,county of South Korea,36.26257,126.85802,http://www.wikidata.org/entity/Q50247
Q42098,Boryeong,Boryeong City,big city,36.333333333,126.616666666,http://www.wikidata.org/entity/Q42098
Q42098,Boryeong,Boryeong-si,big city,36.333333333,126.616666666,http://www.wikidata.org/entity/Q42098
Q42096,Miryang,Miryang-si,big city,35.493333333,128.748888888,http://www.wikidata.org/entity/Q42096
Q42096,Miryang,Milyang,big city,35.493333333,128.748888888,http://www.wikidata.org/entity/Q42096
Q50443,Jung District,Jung-gu,district of Incheon,37.47222222,126.62222222,http://www.wikidata.org/entity/Q50443
Q50444,Jungnang District,Jungnang-gu,district of Seoul,37.606395,127.09263,http://www.wikidata.org/entity/Q50444
Q50446,Jinhae district,Jinhae,district of South Korea (non-autonomous),35.149444444,128.659722222,http://www.wikidata.org/entity/Q50446
Q50446,Jinhae district,Jinhae-gu,district of South Korea (non-autonomous),35.149444444,128.659722222,http://www.wikidata.org/entity/Q50446
Q42088,Nonsan,Nonsan-si,big city,36.203888888,127.084722222,http://www.wikidata.org/entity/Q42088
Q50320,Jangseong County,Jangseong-gun,county of South Korea,35.297777777,126.784444444,http://www.wikidata.org/entity/Q50320
Q42099,Bucheon,Puch'on,big city of South Korea,37.498888888,126.783055555,http://www.wikidata.org/entity/Q42099
Q42099,Bucheon,Puch'ŏn,big city of South Korea,37.498888888,126.783055555,http://www.wikidata.org/entity/Q42099
Q42097,Gyeongju,Kyŏngju,big city,35.85,129.216666666,http://www.wikidata.org/entity/Q42097
Q42097,Gyeongju,Kyongiu,big city,35.85,129.216666666,http://www.wikidata.org/entity/Q42097
Q42097,Gyeongju,Kyongju,big city,35.85,129.216666666,http://www.wikidata.org/entity/Q42097
Q50404,Seo District,Seo-gu,district of South Korea  (autonomous),35.87,128.56,http://www.wikidata.org/entity/Q50404
Q50405,Seo District,Seo-gu,district of South Korea  (autonomous),36.35,127.38,http://www.wikidata.org/entity/Q50405
Q50406,Seo District,Seo-gu,district of Busan,35.1,129.02,http://www.wikidata.org/entity/Q50406
Q50407,Seo District,Seo-gu,district of Incheon,37.55,126.68,http://www.wikidata.org/entity/Q50407
Q16950,Seoul Metropolitan Subway,Seoul Metro,rapid transit,37.56,126.99,http://www.wikidata.org/entity/Q16950
Q16950,Seoul Metropolitan Subway,Seoul Subway,rapid transit,37.56,126.99,http://www.wikidata.org/entity/Q16950
Q16950,Seoul Metropolitan Subway,Sudogwon Metro,rapid transit,37.56,126.99,http://www.wikidata.org/entity/Q16950
Q50259,Yeonggwang County,Yeonggwang-gun,county of South Korea,35.28714,126.28701,http://www.wikidata.org/entity/Q50259
Q50442,Jung District,Jung-gu,district of South Korea  (autonomous),35.56666667,129.33333333,http://www.wikidata.org/entity/Q50442
Q50244,Boeun County,Boeun-gun,county of South Korea,36.484444444,127.718611111,http://www.wikidata.org/entity/Q50244
Q50247,Buyeo County,Buyeo,county of South Korea,36.26257,126.85802,http://www.wikidata.org/entity/Q50247
Q50242,Muju County,Muju-gun,county of South Korea,36.006944444,127.660555555,http://www.wikidata.org/entity/Q50242
Q50243,Boseong County,Boseong-gun,county of South Korea,34.770555555,127.081666666,http://www.wikidata.org/entity/Q50243
Q50438,Jung District,Jung-gu,district of South Korea  (autonomous),35.86916667,128.60527778,http://www.wikidata.org/entity/Q50438
Q50439,Jung District,Jung-gu,district of South Korea  (autonomous),36.32388889,127.42083333,http://www.wikidata.org/entity/Q50439
Q50440,Jung District,Jung-gu,district of Busan,35.102636,129.034594,http://www.wikidata.org/entity/Q50440
Q50441,Jung District,Jung-gu,district of Seoul,37.555922222,126.970347222,http://www.wikidata.org/entity/Q50441
Q50441,Jung District,Seoul/Jung,district of Seoul,37.555922222,126.970347222,http://www.wikidata.org/entity/Q50441
Q50352,Gyeyang District,Gyeyang-gu,district of South Korea  (autonomous),37.536944,126.737778,http://www.wikidata.org/entity/Q50352
Q50353,Gwanak District,Gwanak-gu,district of Seoul,37.47843,126.951596,http://www.wikidata.org/entity/Q50353
Q50354,Gwangsan District,Gwangsan-gu,district of South Korea  (autonomous),35.13472222,126.79444444,http://www.wikidata.org/entity/Q50354
Q50355,Gwangjin District,Gwangjin-gu,district of Seoul,37.537908,127.082086,http://www.wikidata.org/entity/Q50355
Q42117,Ansan,Ansan-si,city,37.323611111,126.821944444,http://www.wikidata.org/entity/Q42117
Q50348,Gangdong District,Gangdong-gu,district of Seoul,37.530127,127.123751,http://www.wikidata.org/entity/Q50348
Q50349,Gangbuk District,Gangbuk-gu,district of Seoul,37.639611111,127.025655555,http://www.wikidata.org/entity/Q50349
Q42131,Wonju,Wŏnju-si (Korea),big city,37.321111111,127.921388888,http://www.wikidata.org/entity/Q42131
Q42131,Wonju,Wonju-si,big city,37.321111111,127.921388888,http://www.wikidata.org/entity/Q42131
Q42116,Andong,Andong-si,big city,36.565555555,128.725,http://www.wikidata.org/entity/Q42116
Q42116,Andong,Andong City,big city,36.565555555,128.725,http://www.wikidata.org/entity/Q42116
Q42142,Jeju,Jeju City,big city,33.509722222,126.521944444,http://www.wikidata.org/entity/Q42142
Q42142,Jeju,Juju-si,big city,33.509722222,126.521944444,http://www.wikidata.org/entity/Q42142
Q50356,Guro District,Guro-gu,district of Seoul,37.502587805,126.883883395,http://www.wikidata.org/entity/Q50356
Q50356,Guro District,Gulo-gu,district of Seoul,37.502587805,126.883883395,http://www.wikidata.org/entity/Q50356
Q50356,Guro District,Gulogu,district of Seoul,37.502587805,126.883883395,http://www.wikidata.org/entity/Q50356
Q50356,Guro District,Gurogu,district of Seoul,37.502587805,126.883883395,http://www.wikidata.org/entity/Q50356
Q50252,Sinan County,Shinan-gun,county of South Korea,34.83107,126.09872,http://www.wikidata.org/entity/Q50252
Q50252,Sinan County,Sinan-gun,county of South Korea,34.83107,126.09872,http://www.wikidata.org/entity/Q50252
Q489696,Korea National University of Arts,KARTS,university,37.6055,127.05605556,http://www.wikidata.org/entity/Q489696
Q489696,Korea National University of Arts,Korean National University of Arts,university,37.6055,127.05605556,http://www.wikidata.org/entity/Q489696
Q489696,Korea National University of Arts,Pusan Yesul Kodŭng Hakkyo,university,37.6055,127.05605556,http://www.wikidata.org/entity/Q489696
Q489704,Daejeon Hanbat Baseball Stadium,Hanwha Park,stadium,36.316944,127.429444,http://www.wikidata.org/entity/Q489704
Q20921,Daejeon,Taejŏn,metropolitan city of South Korea,36.35,127.385,http://www.wikidata.org/entity/Q20921
Q50450,Heungdeok-gu,Fundoku,district of South Korea (non-autonomous),36.637528,127.469594,http://www.wikidata.org/entity/Q50450
Q50450,Heungdeok-gu,Tak Hing,district of South Korea (non-autonomous),36.637528,127.469594,http://www.wikidata.org/entity/Q50450
Q50595,YG Entertainment,YG,record label,37.548782,126.907718,http://www.wikidata.org/entity/Q50595
Q50595,YG Entertainment,Y.G Entertainment Inc.,record label,37.548782,126.907718,http://www.wikidata.org/entity/Q50595
Q50595,YG Entertainment,YGENT,record label,37.548782,126.907718,http://www.wikidata.org/entity/Q50595
Q489488,Chungnam National University,CNU,public university,36.368888888,127.346111111,http://www.wikidata.org/entity/Q489488
Q489490,Incheon SSG Landers Field,Incheon SK Happy Dream Park,stadium,37.437111,126.693306,http://www.wikidata.org/entity/Q489490
Q489490,Incheon SSG Landers Field,Munhak Baseball Stadium,stadium,37.437111,126.693306,http://www.wikidata.org/entity/Q489490
Q489528,Geumsansa,Geumsansa temple,Korean Buddhist temple,35.722731,127.053032,http://www.wikidata.org/entity/Q489528
Q489672,Bucheon International Fantastic Film Festival,BiFan,film festival,37.4989,126.7831,http://www.wikidata.org/entity/Q489672
Q489672,Bucheon International Fantastic Film Festival,PiFan,film festival,37.4989,126.7831,http://www.wikidata.org/entity/Q489672
Q489672,Bucheon International Fantastic Film Festival,Puchon International Fantastic Film Festival,film festival,37.4989,126.7831,http://www.wikidata.org/entity/Q489672
Q42147,Cheongju,Chongju,big city,36.637222222,127.489722222,http://www.wikidata.org/entity/Q42147
Q41164,Jeju Province,Jeju,special self-governing province and state of South Korea,33.366666666,126.533333333,http://www.wikidata.org/entity/Q41164
Q41164,Jeju Province,Jeju-do,special self-governing province and state of South Korea,33.366666666,126.533333333,http://www.wikidata.org/entity/Q41164
Q41164,Jeju Province,Cheju T'ŭkpyŏl Chach'ido,special self-governing province and state of South Korea,33.366666666,126.533333333,http://www.wikidata.org/entity/Q41164
Q41164,Jeju Province,Jeju Special Autonomous Province,special self-governing province and state of South Korea,33.366666666,126.533333333,http://www.wikidata.org/entity/Q41164
Q41164,Jeju Province,Jeju Special Self-governing Province,special self-governing province and state of South Korea,33.366666666,126.533333333,http://www.wikidata.org/entity/Q41164
Q42144,Jinju,Jinju-si,big city,35.192777777,128.084722222,http://www.wikidata.org/entity/Q42144
Q45341,East China Sea,Eastern China Sea,marginal sea,30.0,125.0,http://www.wikidata.org/entity/Q45341
Q45341,East China Sea,Tung Hai,marginal sea,30.0,125.0,http://www.wikidata.org/entity/Q45341
Q45341,East China Sea,Tung-hai,marginal sea,30.0,125.0,http://www.wikidata.org/entity/Q45341
Q42125,Yeosu,Yŏsu,big city,34.760689,127.662163,http://www.wikidata.org/entity/Q42125
Q42126,Yeongju,Yeongju-si,big city,36.821666666,128.630833333,http://www.wikidata.org/entity/Q42126
Q42126,Yeongju,Yŏngju-si,big city,36.821666666,128.630833333,http://www.wikidata.org/entity/Q42126
Q41161,South Jeolla,Jeollanam,province of South Korea,34.816252,126.462975,http://www.wikidata.org/entity/Q41161
Q41161,South Jeolla,Jeonnam,province of South Korea,34.816252,126.462975,http://www.wikidata.org/entity/Q41161
Q52052,Korea Strait,Corea Str.,strait,34.599444444,129.796666666,http://www.wikidata.org/entity/Q52052
Q52052,Korea Strait,Corea Strait,strait,34.599444444,129.796666666,http://www.wikidata.org/entity/Q52052
Q52052,Korea Strait,Korea Str.,strait,34.599444444,129.796666666,http://www.wikidata.org/entity/Q52052
Q52052,Korea Strait,Str. of Corea,strait,34.599444444,129.796666666,http://www.wikidata.org/entity/Q52052
Q52052,Korea Strait,Str. of Korea,strait,34.599444444,129.796666666,http://www.wikidata.org/entity/Q52052
Q52052,Korea Strait,Strait of Corea,strait,34.599444444,129.796666666,http://www.wikidata.org/entity/Q52052
Q52052,Korea Strait,Strait of Korea,strait,34.599444444,129.796666666,http://www.wikidata.org/entity/Q52052
Q29151,Jeju Island,Cheju I.,island,33.365556,126.528056,http://www.wikidata.org/entity/Q29151
Q29151,Jeju Island,Cheju Is.,island,33.365556,126.528056,http://www.wikidata.org/entity/Q29151
Q29151,Jeju Island,Cheju Island,island,33.365556,126.528056,http://www.wikidata.org/entity/Q29151
Q29151,Jeju Island,I. Quelpaert,island,33.365556,126.528056,http://www.wikidata.org/entity/Q29151
Q29151,Jeju Island,I. Quelpart,island,33.365556,126.528056,http://www.wikidata.org/entity/Q29151
Q29151,Jeju Island,Isle of Quelpaert,island,33.365556,126.528056,http://www.wikidata.org/entity/Q29151
Q29151,Jeju Island,Isle of Quelpart,island,33.365556,126.528056,http://www.wikidata.org/entity/Q29151
Q29151,Jeju Island,Jejudo,island,33.365556,126.528056,http://www.wikidata.org/entity/Q29151
Q29151,Jeju Island,Quelpaert,island,33.365556,126.528056,http://www.wikidata.org/entity/Q29151
Q29151,Jeju Island,Quelpaert I.,island,33.365556,126.528056,http://www.wikidata.org/entity/Q29151
Q29151,Jeju Island,Quelpaert Is.,island,33.365556,126.528056,http://www.wikidata.org/entity/Q29151
Q29151,Jeju Island,Quelpaert Island,island,33.365556,126.528056,http://www.wikidata.org/entity/Q29151
Q29151,Jeju Island,Quelpart,island,33.365556,126.528056,http://www.wikidata.org/entity/Q29151
Q29151,Jeju Island,Quelpart I.,island,33.365556,126.528056,http://www.wikidata.org/entity/Q29151
Q29151,Jeju Island,Quelpart Island,island,33.365556,126.528056,http://www.wikidata.org/entity/Q29151
Q42129,Osan,Osan-si,big city,37.145,127.069444444,http://www.wikidata.org/entity/Q42129
Q50213,Goesan County,Goesan,county of South Korea,36.810833333,127.794722222,http://www.wikidata.org/entity/Q50213
Q50213,Goesan County,Goesan-gun,county of South Korea,36.810833333,127.794722222,http://www.wikidata.org/entity/Q50213
Q50449,Haeundae District,Haeundae-gu,district of Busan,35.1619,129.164,http://www.wikidata.org/entity/Q50449
Q42152,Tongyeong,Yongyeong-si,big city,34.845833333,128.423611111,http://www.wikidata.org/entity/Q42152
Q42154,Pyeongtaek,"Pyeongtaek, Gyeonggi",big city,36.994722222,127.088888888,http://www.wikidata.org/entity/Q42154
Q42154,Pyeongtaek,"Pyeongtaek, South Korea",big city,36.994722222,127.088888888,http://www.wikidata.org/entity/Q42154
Q20317,Liancourt Rocks,Takeshima,archipelago,37.241666666,131.866666666,http://www.wikidata.org/entity/Q20317
Q20317,Liancourt Rocks,Dokdo,archipelago,37.241666666,131.866666666,http://www.wikidata.org/entity/Q20317
Q20317,Liancourt Rocks,Hornet Islands,archipelago,37.241666666,131.866666666,http://www.wikidata.org/entity/Q20317
Q20317,Liancourt Rocks,Kajido,archipelago,37.241666666,131.866666666,http://www.wikidata.org/entity/Q20317
Q20317,Liancourt Rocks,Liancourt Islands,archipelago,37.241666666,131.866666666,http://www.wikidata.org/entity/Q20317
Q20317,Liancourt Rocks,Liancourt Islets,archipelago,37.241666666,131.866666666,http://www.wikidata.org/entity/Q20317
Q20317,Liancourt Rocks,Sambongdo,archipelago,37.241666666,131.866666666,http://www.wikidata.org/entity/Q20317
Q20317,Liancourt Rocks,Tok Island,archipelago,37.241666666,131.866666666,http://www.wikidata.org/entity/Q20317
Q20317,Liancourt Rocks,Tok Islets,archipelago,37.241666666,131.866666666,http://www.wikidata.org/entity/Q20317
Q51972,Busan Metro,Busan Subway,rapid transit,35.18,129.075,http://www.wikidata.org/entity/Q51972
Q18180,Korean Air Lines Flight 007 crash,KE007,airspace intrusion,46.566666666,141.283333333,http://www.wikidata.org/entity/Q18180
Q18180,Korean Air Lines Flight 007 crash,Korean Air Lines 007 crash,airspace intrusion,46.566666666,141.283333333,http://www.wikidata.org/entity/Q18180
Q52054,Western Channel,Busan Strait,strait,34.57,128.89,http://www.wikidata.org/entity/Q52054
Q52055,Tsushima Strait,Eastern Channel,strait,34.0075,129.49,http://www.wikidata.org/entity/Q52055
Q37960,Yellow Sea,Huang Hai,sea,35.0,123.0,http://www.wikidata.org/entity/Q37960
Q37960,Yellow Sea,Huanghai,sea,35.0,123.0,http://www.wikidata.org/entity/Q37960
Q37960,Yellow Sea,Huanghai Sea,sea,35.0,123.0,http://www.wikidata.org/entity/Q37960
Q37960,Yellow Sea,Hwang Hai,sea,35.0,123.0,http://www.wikidata.org/entity/Q37960
Q37960,Yellow Sea,Hwang Hai Sea,sea,35.0,123.0,http://www.wikidata.org/entity/Q37960
Q37960,Yellow Sea,Whang-hai,sea,35.0,123.0,http://www.wikidata.org/entity/Q37960
Q37960,Yellow Sea,Whang-hai Sea,sea,35.0,123.0,http://www.wikidata.org/entity/Q37960
Q50209,Goseong County,Goseong,county of South Korea,38.380833333,128.469722222,http://www.wikidata.org/entity/Q50209
Q17168,Anheung Proving Ground,Anheung Jonghapsiheomjang,launch pad,36.7,126.483333333,http://www.wikidata.org/entity/Q17168
Q17501,Seoul Subway Line 2,Seoul Metro Green Line,circle route,37.556,126.94,http://www.wikidata.org/entity/Q17501
Q17501,Seoul Subway Line 2,Seoul Metro Line 2,circle route,37.556,126.94,http://www.wikidata.org/entity/Q17501
Q42157,Pohang,Po-Hang,big city,36.032222222,129.365,http://www.wikidata.org/entity/Q42157
Q42157,Pohang,Po'hang,big city,36.032222222,129.365,http://www.wikidata.org/entity/Q42157
Q36929,Jongno District,Jongno-gu,district of Seoul,37.572916,126.979378,http://www.wikidata.org/entity/Q36929
Q31038,Jeongja Station,Baekgung Station,metro station,37.366277777,127.108122222,http://www.wikidata.org/entity/Q31038
Q31094,Chungju,Ch'ungju-si,big city,37.017777777,127.877222222,http://www.wikidata.org/entity/Q31094
Q41172,Ulleungdo,Dagelet Island,island,37.501111111,130.856388888,http://www.wikidata.org/entity/Q41172
Q41172,Ulleungdo,Ulleung Island,island,37.501111111,130.856388888,http://www.wikidata.org/entity/Q41172
Q41172,Ulleungdo,Ullŭng-do,island,37.501111111,130.856388888,http://www.wikidata.org/entity/Q41172
Q41172,Ulleungdo,Utsuryo-do,island,37.501111111,130.856388888,http://www.wikidata.org/entity/Q41172
Q53118,Busan station,Busan,railway station,35.114722222,129.041944444,http://www.wikidata.org/entity/Q53118
Q53122,Pusan National University,PNU,university,35.23398,129.07931,http://www.wikidata.org/entity/Q53122
Q53122,Pusan National University,Busan National University,university,35.23398,129.07931,http://www.wikidata.org/entity/Q53122
Q53122,Pusan National University,Busan University,university,35.23398,129.07931,http://www.wikidata.org/entity/Q53122
Q20927,Daegu,Taegu,metropolitan city of South Korea,35.871666666,128.601666666,http://www.wikidata.org/entity/Q20927
Q20927,Daegu,Daegu Metropolitan City,metropolitan city of South Korea,35.871666666,128.601666666,http://www.wikidata.org/entity/Q20927
Q42148,Chuncheon,Ch'unch'ŏn,big city,37.874722222,127.734166666,http://www.wikidata.org/entity/Q42148
Q42148,Chuncheon,Chun Chon City,big city,37.874722222,127.734166666,http://www.wikidata.org/entity/Q42148
Q42148,Chuncheon,Chunchŏn,big city,37.874722222,127.734166666,http://www.wikidata.org/entity/Q42148
Q49942,Buramsan Station,Danggogae Station,railway station,37.66996,127.07877,http://www.wikidata.org/entity/Q49942
Q50190,Yeongdeungpo District,Yeongdeungpo-gu,district of Seoul,37.526337,126.896271,http://www.wikidata.org/entity/Q50190
Q50191,Gangseo District,Gangseo-gu,district of Busan,35.20694444,128.98055556,http://www.wikidata.org/entity/Q50191
Q50192,Gangseo District,Gangseo-gu,district of Seoul,37.550983,126.849548,http://www.wikidata.org/entity/Q50192
Q20932,Incheon International Airport,Incheon Airport,international airport,37.4625,126.439166666,http://www.wikidata.org/entity/Q20932
Q20932,Incheon International Airport,Seoul–Incheon International Airport,international airport,37.4625,126.439166666,http://www.wikidata.org/entity/Q20932
Q55500,Han River,Han Gang River,river,37.5267,127.3106,http://www.wikidata.org/entity/Q55500
Q55500,Han River,Han R.,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,Han River (Korea),river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,Han-kang,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,Han-kang River,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,Han'gang,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,Hang R.,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,Hang River,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,Hang-kiang,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,Hangang River,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,R. Han,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,R. Hang,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,R. Seoul,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,R. Seul,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,River Han,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,River Hang,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,River Seoul,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,River Seul,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,Seoul R.,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
Q55500,Han River,Seoul River,river,37.75,126.1833,http://www.wikidata.org/entity/Q55500
